animal,cluster,seconds,percent
58.5,Freeze,87.25,21.556516368128477
58.5,Sniff,4.25,1.0500308832612724
58.5,Groom,0.25,0.06176652254478073
58.5,Turn,209.0,51.63681284743669
58.5,Locomotion,72.0,17.78875849289685
58.5,Climb,26.25,6.4854848672019765
58.5,Jump,5.75,1.4206300185299567
