animal_id,group,project,experiment,cluster,time_bin,percentage,seconds,time_min
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_060s,41.73333333333333,60.0,1.0
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_090s,0.0,90.0,1.5
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_120s,8.399999999999999,120.0,2.0
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_150s,12.0,150.0,2.5
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_180s,4.0,180.0,3.0
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_210s,5.066666666666666,210.0,3.5
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_240s,2.5333333333333337,240.0,4.0
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_270s,0.0,270.0,4.5
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_300s,0.0,300.0,5.0
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_330s,0.0,330.0,5.5
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_360s,5.866666666666666,360.0,6.0
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_390s,5.466666666666667,390.0,6.5
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_420s,0.0,420.0,7.0
11.6,Control,"Sanguino-Gomez and Krugers, 2024",1,Mix behaviors,t_450s,0.6666666666666667,450.0,7.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_030s,1.2,30.0,0.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_060s,9.466666666666667,60.0,1.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_090s,6.0,90.0,1.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_120s,0.0,120.0,2.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_150s,16.133333333333333,150.0,2.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_180s,13.066666666666665,180.0,3.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_210s,4.000000000000001,210.0,3.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_240s,0.0,240.0,4.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_270s,0.0,270.0,4.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_300s,2.1333333333333333,300.0,5.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_330s,0.0,330.0,5.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_360s,0.0,360.0,6.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_390s,1.8666666666666665,390.0,6.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_420s,0.6666666666666667,420.0,7.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_450s,0.0,450.0,7.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_030s,20.53333333333333,30.0,0.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_060s,15.066666666666666,60.0,1.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_090s,0.0,90.0,1.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_120s,4.0,120.0,2.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_150s,31.2,150.0,2.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_180s,8.933333333333334,180.0,3.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_210s,2.933333333333333,210.0,3.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_240s,2.0,240.0,4.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_270s,0.6666666666666667,270.0,4.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_300s,0.5333333333333333,300.0,5.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_330s,0.0,330.0,5.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_360s,4.8,360.0,6.0
