,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn,Unassigned
Climbing,0.5220291381428822,0.01439354045989117,0.000526592943654555,0.01685097419694576,0.1205897840968931,0.17517991925574863,0.08267509215376515,0.06775495875021942
Freezing,0.0003333333333333333,0.9143333333333333,0.00016666666666666666,0.0,0.0005,0.0105,0.0465,0.027666666666666666
Grooming,0.0,0.00816326530612245,0.6979591836734694,0.0,0.0163265306122449,0.0,0.012244897959183673,0.2653061224489796
Jump,0.0017751479289940828,0.0,0.001183431952662722,0.9053254437869822,0.07514792899408285,0.001183431952662722,0.0,0.015384615384615385
Locomotion,0.020666666666666667,0.0003333333333333333,0.0005,0.0215,0.8853333333333333,0.0035,0.03283333333333333,0.035333333333333335
Sniffing,0.010666666666666666,0.006,0.00016666666666666666,0.0005,0.008333333333333333,0.8926666666666667,0.06266666666666666,0.019
Turn,0.021833333333333333,0.0375,0.00016666666666666666,0.0006666666666666666,0.06566666666666666,0.113,0.642,0.11916666666666667
Unassigned,0.033166666666666664,0.04883333333333333,0.006166666666666667,0.011333333333333334,0.11166666666666666,0.043833333333333335,0.20383333333333334,0.5411666666666667
