,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn,Unassigned
Climbing,2974,82,3,96,687,998,471,386
Freezing,2,5486,1,0,3,63,279,166
Grooming,0,2,171,0,4,0,3,65
Jump,3,0,2,1530,127,2,0,26
Locomotion,124,2,3,129,5312,21,197,212
Sniffing,64,36,1,3,50,5356,376,114
Turn,131,225,1,4,394,678,3852,715
Unassigned,199,293,37,68,670,263,1223,3247
