,precision,recall,f1,support
Climbing,0.8504432370603374,0.5220291381428822,0.6469436589079834,5697.0
Freezing,0.8955272608553706,0.9143333333333333,0.904832591126505,6000.0
Grooming,0.7808219178082192,0.6979591836734694,0.7370689655172413,245.0
Jump,0.8360655737704918,0.9053254437869822,0.8693181818181818,1690.0
Locomotion,0.732992962605216,0.8853333333333333,0.801992904053748,6000.0
Sniffing,0.7256469313101206,0.8926666666666667,0.8005380763769524,6000.0
Turn,0.6017809717231682,0.642,0.6212402225626965,6000.0
Unassigned,0.6584871222875684,0.5411666666666667,0.5940902021772939,6000.0
