animal,cluster,seconds,percent
41.6,Freeze,102.75,26.029132362254593
41.6,Sniff,4.5,1.1399620012666245
41.6,Groom,0.5,0.1266624445851805
41.6,Turn,214.5,54.338188727042436
41.6,Locomotion,39.5,10.00633312222926
41.6,Climb,24.5,6.206459784673844
41.6,Jump,8.5,2.1532615579480683
