analysis,feature_set,train_experiment,test_experiment,n_train,n_test,n_features,n_resilient_test,n_vulnerable_test,roc_auc,average_precision,accuracy,balanced_accuracy,sensitivity_resilient,specificity_vulnerable,tn_vulnerable,fp_vulnerable_as_resilient,fn_resilient_as_vulnerable,tp_resilient
cross_cohort,Behaviour dynamics,Exp1,Exp3,25,16,7,6,10,0.8166666666666667,0.7079365079365079,0.6875,0.7166666666666667,0.8333333333333334,0.6,6,4,1,5
cross_cohort,Behaviour dynamics,Exp3,Exp1,16,25,7,6,19,0.631578947368421,0.3823412698412698,0.4,0.6052631578947368,1.0,0.21052631578947367,4,15,0,6
cross_cohort,Freeze only,Exp1,Exp3,25,16,1,6,10,0.7166666666666667,0.6075396825396825,0.5625,0.6166666666666667,0.8333333333333334,0.4,4,6,1,5
cross_cohort,Freeze only,Exp3,Exp1,16,25,1,6,19,0.8947368421052632,0.7999999999999999,0.84,0.6666666666666666,0.3333333333333333,1.0,19,0,4,2
