metric,parameter,coef,se,z,p_value,ci_low,ci_high
Simpson Index,Condition[T.ELS],-0.013440868609830837,0.0071253270829170915,-1.8863511040854812,0.05924765692996195,-0.02740625307041618,0.0005245158507545065
Shannon entropy,Condition[T.ELS],-0.011573886428513308,0.01859606599409611,-0.6223835961965177,0.5336896641442778,-0.04802150603107172,0.024873733174045107
Evenness,Condition[T.ELS],-0.006497065124604124,0.009438376405877986,-0.6883668170468296,0.4912218146422247,-0.024995942952657578,0.012001812703449329
Cumulative usage index,Condition[T.ELS],0.06364578784435602,0.027480926441757668,2.3159986246913906,0.020558343783341145,0.009784161756716536,0.11750741393199551
