cluster,n,Control,ELS vulnerable,ELS resilient,n_litters,dominant,purity_%
1,47,20,23,4,32,ELS vulnerable,48.9
2,3,2,1,0,3,Control,66.7
3,32,19,5,8,24,Control,59.4
