Animal,group,Experiment,cluster,bout_duration
15.4,ELS,1,Climbing,0.6923076923076923
15.4,ELS,1,Freezing,1.530701754385965
15.4,ELS,1,Grooming,0.25
15.4,ELS,1,Jump,0.3541666666666667
15.4,ELS,1,Locomotion,0.5220588235294118
15.4,ELS,1,Sniffing,1.5769230769230769
15.4,ELS,1,Turn,1.5037593984962405
15.6,ELS,1,Climbing,0.95
15.6,ELS,1,Freezing,0.915
15.6,ELS,1,Grooming,0.25
15.6,ELS,1,Jump,1.0
15.6,ELS,1,Locomotion,0.3359375
15.6,ELS,1,Sniffing,0.7767857142857143
15.6,ELS,1,Turn,1.3721590909090908
150.3,ELS,3,Climbing,1.1666666666666667
150.3,ELS,3,Freezing,1.3125
150.3,ELS,3,Grooming,0.25
150.3,ELS,3,Jump,0.5357142857142857
150.3,ELS,3,Locomotion,0.4166666666666667
150.3,ELS,3,Sniffing,1.8482142857142858
150.3,ELS,3,Turn,1.4605263157894737
150.5,ELS,3,Climbing,0.9107142857142857
150.5,ELS,3,Freezing,0.875
150.5,ELS,3,Jump,0.4166666666666667
150.5,ELS,3,Locomotion,0.41923076923076924
150.5,ELS,3,Sniffing,1.8397435897435896
150.5,ELS,3,Turn,1.3522012578616351
152.3,Control,3,Climbing,1.0
152.3,Control,3,Freezing,0.9111570247933884
152.3,Control,3,Jump,0.5
152.3,Control,3,Locomotion,0.63125
152.3,Control,3,Sniffing,0.625
152.3,Control,3,Turn,0.9472477064220184
152.5,Control,3,Climbing,1.015625
152.5,Control,3,Freezing,1.3435114503816794
152.5,Control,3,Grooming,0.25
152.5,Control,3,Jump,0.42857142857142855
152.5,Control,3,Locomotion,0.42613636363636365
152.5,Control,3,Sniffing,0.725
152.5,Control,3,Turn,1.099264705882353
153.4,ELS,3,Climbing,1.0833333333333333
153.4,ELS,3,Freezing,1.5545977011494252
153.4,ELS,3,Grooming,0.25
153.4,ELS,3,Jump,0.6666666666666666
153.4,ELS,3,Locomotion,0.3557692307692308
153.4,ELS,3,Sniffing,2.175
153.4,ELS,3,Turn,1.826241134751773
154.4,ELS,3,Climbing,0.9861111111111112
154.4,ELS,3,Freezing,1.5737179487179487
154.4,ELS,3,Jump,0.7115384615384616
154.4,ELS,3,Locomotion,0.4336734693877551
154.4,ELS,3,Sniffing,1.15625
154.4,ELS,3,Turn,1.5196969696969698
157.1,Control,3,Climbing,1.0625
157.1,Control,3,Freezing,1.0555555555555556
157.1,Control,3,Jump,0.2916666666666667
157.1,Control,3,Locomotion,0.5045871559633027
157.1,Control,3,Sniffing,1.3333333333333333
157.1,Control,3,Turn,1.1991017964071857
157.4,Control,3,Climbing,0.8942307692307693
157.4,Control,3,Freezing,1.304054054054054
157.4,Control,3,Grooming,0.25
157.4,Control,3,Jump,0.9583333333333334
157.4,Control,3,Locomotion,0.4076086956521739
157.4,Control,3,Sniffing,1.0625
157.4,Control,3,Turn,1.55
158.5,Control,3,Climbing,1.0795454545454546
158.5,Control,3,Freezing,1.3785714285714286
158.5,Control,3,Grooming,0.25
158.5,Control,3,Jump,1.125
158.5,Control,3,Locomotion,0.40789473684210525
158.5,Control,3,Sniffing,1.35
158.5,Control,3,Turn,1.416158536585366
159.3,ELS,3,Climbing,1.0441176470588236
159.3,ELS,3,Freezing,0.7987012987012987
159.3,ELS,3,Jump,0.25
159.3,ELS,3,Locomotion,0.5384615384615384
159.3,ELS,3,Sniffing,2.6875
159.3,ELS,3,Turn,1.9270833333333333
159.4,ELS,3,Climbing,0.9807692307692307
159.4,ELS,3,Freezing,1.1666666666666667
159.4,ELS,3,Jump,0.25
159.4,ELS,3,Locomotion,0.5625
159.4,ELS,3,Sniffing,2.22
159.4,ELS,3,Turn,1.2467320261437909
159.5,ELS,3,Climbing,0.8863636363636364
159.5,ELS,3,Freezing,0.7426470588235294
159.5,ELS,3,Jump,0.275
159.5,ELS,3,Locomotion,0.4166666666666667
159.5,ELS,3,Sniffing,3.212121212121212
159.5,ELS,3,Turn,2.127083333333333
161.1,Control,3,Climbing,1.0416666666666667
161.1,Control,3,Freezing,1.6476190476190475
161.1,Control,3,Jump,0.5416666666666666
161.1,Control,3,Locomotion,0.4032258064516129
161.1,Control,3,Sniffing,1.0
161.1,Control,3,Turn,1.5641891891891893
161.3,Control,3,Climbing,0.8333333333333334
161.3,Control,3,Freezing,1.3627450980392157
161.3,Control,3,Jump,0.725
161.3,Control,3,Locomotion,0.47058823529411764
161.3,Control,3,Sniffing,1.84375
