cluster,reported_in_manuscript,manuscript_beta,manuscript_SE,manuscript_z,experiment_row_beta,experiment_row_SE,experiment_row_z,experiment_row_p,manuscript_equals_experiment_row,correct_res_vs_vuln_beta,correct_res_vs_vuln_SE,correct_res_vs_vuln_z,correct_res_vs_vuln_p,res_vs_control_beta,res_vs_control_SE,res_vs_control_z,res_vs_control_p,experiment_row_p_BH,correct_res_vs_vuln_p_BH,correct_sig_BH_0.05
Freezing,True,0.18,0.039,4.681,0.1804,0.0385,4.6811,2.853876730637614e-06,True,0.4088,0.1176,3.4759,0.0005092361906000654,0.0671,0.1111,0.6038,0.545967755938723,9.98856855723165e-06,0.0017823266671002289,True
Sniffing,True,0.492,0.119,4.139,0.4918,0.1188,4.1392,3.4844728386747294e-05,True,-0.3471,0.3126,-1.1103,0.2668671130852961,0.3637,0.3137,1.1593,0.24631384782634402,8.130436623574368e-05,0.4693939732076106,False
Grooming,True,-0.398,0.187,-2.122,-0.3976,0.1873,-2.1223,0.033813210651112466,True,0.076,0.5192,0.1463,0.8836567566462948,-0.0152,0.4717,-0.0322,0.9742884953580295,0.04733849491155745,0.8904001683454043,False
Turn,False,,,,0.0094,0.0166,0.5679,0.5700913763064837,False,-0.1445,0.0326,-4.4375,9.101814371027507e-06,-0.0037,0.0341,-0.11,0.9124193466875516,0.5795475561676584,6.371270059719255e-05,True
Locomotion,True,-0.425,0.089,-4.755,-0.4245,0.0893,-4.7546,1.9887504272260657e-06,True,0.2713,0.2451,1.1072,0.26822512754720607,0.0252,0.2564,0.0983,0.9216665997493155,9.98856855723165e-06,0.4693939732076106,False
Climbing,True,-0.196,0.075,-2.624,-0.1956,0.0745,-2.6239,0.008692145159418567,True,-0.0396,0.2871,-0.1378,0.8904001683454043,0.0092,0.2737,0.0337,0.9730896990345426,0.015211254028982492,0.8904001683454043,False
Jump,False,,,,-0.034,0.0613,-0.554,0.5795475561676584,False,-0.0927,0.1726,-0.5368,0.5914198174331378,-0.0519,0.1613,-0.322,0.7474850333070524,0.5795475561676584,0.8279877444063929,False
