metric,parameter,coef,se,z,p_value,ci_low,ci_high,n_obs
lz,Condition[T.ELS],-8.048780487804878,5.561214085720906,-1.4473063550045848,0.14781114003593865,-18.948559806134696,2.850998830524942,82
recurrence,Condition[T.ELS],0.01344086860983049,0.00704293794695054,1.9084178663891445,0.056337229467962865,-0.00036303611154303757,0.027244773331204016,82
determinism,Condition[T.ELS],0.016104788319991695,0.007433225680538118,2.1665948286970096,0.030265762061112308,0.0015359336971787502,0.03067364294280464,82
markov,Condition[T.ELS],-0.0411869787414177,0.025152309271953114,-1.6375028748292528,0.10152543874748692,-0.09048459904245867,0.008110641559623273,82
