cluster,parameter,coef,se,z,p_value,ci_low,ci_high
Freezing,Condition[T.ELS],-0.09384744101836942,0.03836425876397598,-2.4462206241422844,0.014436263103894197,-0.16904000648933748,-0.018654875547401376
Sniffing,Condition[T.ELS],0.32087940229676004,0.1273798012950552,2.5190760154625584,0.011766325149729567,0.07121957940058332,0.5705392251929368
Grooming,Condition[T.ELS],0.0004458041958041753,0.0014229031856538292,0.3133060634756585,0.7540481438919768,-0.00234303480156464,0.0032346431931729903
Turn,Condition[T.ELS],0.16382370310043093,0.06083743988675332,2.6928106015865034,0.007085250561813337,0.04458451201077389,0.28306289419008795
Locomotion,Condition[T.ELS],0.0021834686706813777,0.00502142504576118,0.43483048154319176,0.6636854779360024,-0.007658343570077927,0.012025280911440683
Climbing,Condition[T.ELS],-0.006871677081900677,0.025130763676924617,-0.2734368589129003,0.7845174226157636,-0.056127068792660315,0.042383714628858954
Jump,Condition[T.ELS],-0.019890213392408995,0.04040438485285156,-0.49227858473398417,0.6225224170797505,-0.09908135252149375,0.05930092573667575
