metric,ICC_litter,var_litter,var_residual,LR_stat,p_litter_effect
Simpson diversity,0.0006225383283092456,7.076441944603834e-07,0.0011360001893332794,-0.006732159561295248,0.5
Shannon entropy,0.0008190329755400702,6.032671020689386e-06,0.007359569448614901,-0.009018682969696101,0.5
Evenness,8.661409946541248e-09,1.8584857505850278e-11,0.0021457080844326827,-7.44070121072582e-08,0.5
Cumulative usage index,0.08542003271837596,0.001406750585744372,0.015061875578124391,0.3333741729349242,0.28183948758854216
Lempel-Ziv complexity,0.5798468041371371,396.032243449345,286.9623693064771,12.738971434327937,0.00017905729144733373
Recurrence rate,0.0006225383283134845,7.076441944652022e-07,0.0011360001893332753,-0.006732159561352091,0.5
Determinism,0.4568550859788499,0.0005335934711946188,0.0006343774840840129,7.662651881473835,0.002818779074507577
Markov entropy,0.5109948779403592,0.007909606457656699,0.007569230609238261,9.94623705159134,0.0008058926150985401
Freeze bout duration,0.22553881025265626,0.015421336623917795,0.05295419753200991,1.8621528646070828,0.0861882671654169
Sniff bout duration,0.35921156261529397,0.12179490323054981,0.21726685286606254,4.026132267185062,0.022400268987093016
Turn bout duration,0.4094104140017836,0.03298603231116249,0.04758356529320814,4.726733970493228,0.014848613023808617
