animal,cluster,seconds,percent
41.5,Freeze,107.0,27.054361567635905
41.5,Sniff,8.25,2.0859671302149176
41.5,Groom,0.25,0.06321112515802782
41.5,Turn,219.0,55.37294563843237
41.5,Locomotion,48.25,12.199747155499367
41.5,Climb,9.5,2.402022756005057
41.5,Jump,3.25,0.8217446270543615
