,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn,Unassigned
Climbing,11366,12,0,90,200,158,120,54
Freezing,18,10901,0,0,14,133,577,357
Grooming,1,0,215,1,11,0,0,68
Jump,11,0,0,3268,185,3,1,27
Locomotion,309,9,1,215,10519,246,396,305
Sniffing,218,146,0,0,498,9857,947,334
Turn,242,522,8,4,850,1442,7554,1378
Unassigned,495,702,29,108,1309,888,2227,6242
