,precision,recall,f1,support
Climbing,0.8977883096366509,0.9471666666666667,0.9218167072181671,12000.0
Freezing,0.8868369671330947,0.9084166666666667,0.8974971183928866,12000.0
Grooming,0.849802371541502,0.7263513513513513,0.7832422586520947,296.0
Jump,0.8865979381443299,0.9350500715307583,0.9101796407185628,3495.0
Locomotion,0.7742529074046813,0.8765833333333334,0.8222465410771516,12000.0
Sniffing,0.7744951677535947,0.8214166666666667,0.7972661463177902,12000.0
Turn,0.6389781762815091,0.6295,0.6342036772731089,12000.0
Unassigned,0.7121505989731888,0.5201666666666667,0.6012039489525645,12000.0
