animal_id,animal,group,project,experiment,t_030s,t_060s,t_090s,t_120s,t_150s,t_180s,t_210s,t_240s,t_270s,t_300s,t_330s,t_360s,t_390s,t_420s,t_450s
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,0,18.93333333333333,0,6.2666666666666666,0.93333333333333346,8.9333333333333336,4.5333333333333332,21.2,20.93333333333333,14.4,28,23.333333333333329,44.266666666666673,62.533333333333331
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,9.0666666666666664,2.9333333333333331,22.133333333333329,8.7999999999999989,4.8,21.466666666666669,23.2,3.4666666666666659,22.266666666666669,19.600000000000001,65.733333333333334,32.133333333333333,48.4,65.86666666666666,61.06666666666667
15.4,Animal 15_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,5.2,2.2666666666666671,1.333333333333333,3.066666666666666,0,2.5333333333333332,5.2,29.733333333333331,0,4.2666666666666666,40.133333333333333,30.266666666666669,46.400000000000013,32.799999999999997,64.8
15.6,Animal 15_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,3.6,2.5333333333333332,0,8.4,8.2666666666666657,25.06666666666667,13.33333333333333,14.8,11.06666666666667,10.133333333333329,20.93333333333333,35.733333333333327,40.93333333333333,43.066666666666663,34.799999999999997
2.4,Animal 2_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0,10.4,4.666666666666667,2,4.5333333333333332,0,8.9333333333333336,21.733333333333331,48.266666666666673,23.466666666666669,25.466666666666669,54.133333333333333,45.2,26.533333333333331,36.4
23.4,Animal 23_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0,7.1999999999999993,3.066666666666666,6.2666666666666666,2.4,7.0666666666666673,4.666666666666667,20,18.93333333333333,19.06666666666667,22.666666666666661,19.866666666666671,32.133333333333333,23.06666666666667,35.200000000000003
25.1,Animal 25_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0,4,2.666666666666667,5.4666666666666668,11.06666666666667,3.8666666666666671,4.9333333333333336,26.4,14.266666666666669,24.266666666666669,27.866666666666671,22.133333333333329,18.399999999999999,6.9333333333333327,40.533333333333331
26.4,Animal 26_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,3.066666666666666,11.46666666666667,5.2,1.6,11.06666666666667,19.866666666666671,0.66666666666666674,59.06666666666667,26.8,7.7333333333333334,42.666666666666671,47.06666666666667,47.866666666666667,61.06666666666667,82.933333333333337
32.2,Animal 32_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,8.1333333333333329,1.333333333333333,2.4,14.4,0,7.1999999999999993,4.1333333333333329,4.2666666666666666,13.733333333333331,4.3999999999999986,23.466666666666669,10,14.933333333333341,30,27.2
32.4,Animal 32_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,8.1333333333333329,0,0,3.7333333333333338,0,0,2.8,24.8,20.533333333333331,3.4666666666666659,19.466666666666669,49.733333333333327,11.2,1.2,11.46666666666667
34.4,Animal 34_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,9.6,0,0.26666666666666672,0,0,12.133333333333329,0,0,7.8666666666666663,15.06666666666667,7.8666666666666663,6.666666666666667,25.866666666666671,25.466666666666669
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,1.2,0,0,0,3.333333333333333,0.8,19.333333333333329,33.6,6,17.06666666666667,38.133333333333333,12.66666666666667,19.2,28.4,32.4
40.4,Animal_40_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,4.5333333333333332,1.2,0,2.1333333333333329,2,3.2,8.5333333333333332,14.266666666666669,16.533333333333331,36.133333333333333,40,26.8,22.8,20.266666666666669
40.6,Animal_40_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,5.8666666666666663,0,4.1333333333333329,9.3333333333333339,22.666666666666661,8.2666666666666657,15.46666666666667,28.266666666666669,17.06666666666667,14.266666666666669,34,24.533333333333331,10.53333333333333,28
41.4,Animal_41_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,1.2,0,2.8,22.4,5.3333333333333339,5.8666666666666663,3.8666666666666671,18.266666666666669,16.266666666666669,40.666666666666657,20.399999999999999,31.066666666666659,52.8,90.4,66.400000000000006
41.5,Animal_41_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,11.33333333333333,5.7333333333333334,4,4.2666666666666666,13.066666666666659,0,3.2,14,52,21.333333333333339,30.8,32,48,36.799999999999997,37.066666666666663
41.6,Animal_41_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,1.466666666666667,0,0.93333333333333346,2.8,0.93333333333333346,0,1.466666666666667,10.93333333333333,28.93333333333333,9.8666666666666671,31.866666666666671,52.666666666666657,52,42,77.733333333333334
43.3,Animal_43_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0,2.1333333333333329,0,2.5333333333333332,3.7333333333333338,0,2.2666666666666671,27.333333333333329,16.533333333333331,24.4,18,18.399999999999999,27.2,38.266666666666673,46
43.5,Animal_43_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0,3.2,6,2.8,0,5.2,4.8,26.8,25.466666666666669,5.0666666666666664,23.6,34,35.06666666666667,53.733333333333327,22.93333333333333
47.5,Animal_47_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,2.1333333333333329,13.2,3.7333333333333338,3.333333333333333,1.7333333333333329,25.06666666666667,35.6,3.8666666666666671,34.533333333333331,13.866666666666671,34.666666666666671,34.133333333333333,2.666666666666667,41.2
49.5,Animal_49_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0,3.8666666666666671,2.1333333333333329,0,0,0,0,5.7333333333333334,2.8,4,8.9333333333333336,8.7999999999999989,19.06666666666667,24.533333333333331,24.266666666666669
49.6,Animal_49_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0.53333333333333333,9.6,11.866666666666671,14.66666666666667,16.133333333333329,7.4666666666666677,25.333333333333339,53.733333333333327,20.8,47.2,68.400000000000006,73.066666666666663,71.866666666666674,68.13333333333334,80.533333333333331
5.4,Animal 5_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,0,0,12.266666666666669,4.3999999999999986,6.666666666666667,4.666666666666667,44.4,63.6,41.466666666666669,38.93333333333333,48.8,27.6,49.333333333333343,50.8
50.5,Animal_50_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,0,0,17.2,15.33333333333333,27.6,15.866666666666671,36.266666666666673,17.733333333333331,33.733333333333327,46.93333333333333,74.666666666666671,69.86666666666666,62.4,48.666666666666671
53.5,Animal_53_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,9.1999999999999993,0,4.5333333333333332,4.9333333333333336,4.5333333333333332,4.9333333333333336,8.1333333333333329,36.933333333333337,6.5333333333333323,15.733333333333331,47.866666666666667,58.4,56.133333333333333,68.266666666666666,72.533333333333331
54.3,Animal_54_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,2.666666666666667,1.6,1.8666666666666669,5.3333333333333339,0,4.2666666666666666,31.066666666666659,18.533333333333331,46.133333333333333,20,36.666666666666657,7.4666666666666677,39.466666666666669,46.93333333333333
