animal_id,animal,group,project,experiment,t_030s,t_060s,t_090s,t_120s,t_150s,t_180s,t_210s,t_240s,t_270s,t_300s,t_330s,t_360s,t_390s,t_420s,t_450s
123.1,Animal_123_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,7.6,10.53333333333333,0,2.4,0.8,12.4,19.06666666666667,20.399999999999999,50.666666666666671,23.733333333333331,46.400000000000013,43.6,35.333333333333343,45.333333333333329,59.733333333333341
123.3,Animal_123_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,0,0,0,0,4.9333333333333336,16.133333333333329,54.533333333333331,39.200000000000003,21.06666666666667,61.2,62.93333333333333,47.866666666666667,56.266666666666673,78.933333333333337
128.4,Animal_128_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,1.466666666666667,2.666666666666667,0,3.4666666666666659,7.4666666666666677,15.733333333333331,43.333333333333343,29.333333333333329,14.133333333333329,57.733333333333327,71.066666666666663,63.6,32,53.86666666666666
129.1,Animal_129_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,0,13.066666666666659,2.666666666666667,8.5333333333333332,2.666666666666667,28.8,28.8,54.533333333333331,12.8,36.4,70.933333333333337,84.533333333333331,68.533333333333331,78.400000000000006
129.4,Animal_129_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,5.3333333333333339,5.3333333333333339,12.133333333333329,3.8666666666666671,16.266666666666669,15.866666666666671,33.733333333333327,78.133333333333326,62.533333333333331,40.133333333333333,36.666666666666657,42.8,55.733333333333327,41.866666666666667,89.2
133.3,Animal_133_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,1.333333333333333,5.3333333333333339,9.7333333333333325,0.8,5.6000000000000014,34.93333333333333,33.866666666666667,74.133333333333326,47.866666666666667,66.933333333333337,48.133333333333333,30.533333333333331,29.2,76.533333333333331,46.666666666666657
134.2,Animal_134_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,0,0,10.53333333333333,5.0666666666666664,5.6000000000000014,9.7333333333333325,65.066666666666663,60.266666666666673,2,39.200000000000003,73.066666666666663,33.866666666666667,71.599999999999994,56.399999999999991
134.4,Animal_134_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,0,0,0,0,21.866666666666671,11.2,71.066666666666663,33.200000000000003,24,41.333333333333343,35.06666666666667,50.93333333333333,26.266666666666669,48
136.2,Animal_136_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,6.9333333333333327,6.666666666666667,15.46666666666667,3.066666666666666,3.8666666666666671,9.7333333333333325,50,24.4,34.666666666666671,38.666666666666657,52.8,32.93333333333333,25.2,55.333333333333343
136.3,Animal_136_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,4.2666666666666666,1.466666666666667,10.133333333333329,6.666666666666667,6.9333333333333327,24.8,10.133333333333329,42,9.1999999999999993,19.2,11.866666666666671,48.4,32.4,27.866666666666671,54.8
136.5,Animal_136_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,9.6,6.1333333333333329,0,0,11.733333333333331,38.533333333333339,41.466666666666669,63.2,26.8,55.866666666666667,68.400000000000006,54.133333333333333,44.533333333333339,92
137.3,Animal_137_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,3.066666666666666,0,0,3.6,0,0,0,18.533333333333331,4.3999999999999986,11.33333333333333,7.333333333333333,18.8,28.266666666666669,30.666666666666661
144.3,Animal_144_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,2.666666666666667,1.466666666666667,4.1333333333333329,5.3333333333333339,2,3.4666666666666659,35.06666666666667,36,14.266666666666669,7.8666666666666663,13.733333333333331,25.466666666666669,17.06666666666667,32.4
144.5,Animal_144_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,1.7333333333333329,14.266666666666669,0,6.4,10.66666666666667,17.733333333333331,37.6,5.3333333333333339,13.6,53.86666666666666,29.06666666666667,30,11.866666666666671,41.06666666666667
145.5,Animal_145_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0.4,0.93333333333333346,0,4.3999999999999986,8.5333333333333332,12.4,34.666666666666671,19.06666666666667,53.066666666666663,27.866666666666671,32.799999999999997,44.93333333333333,49.866666666666667,37.866666666666667,52.666666666666657
146.6,Animal_146_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,2.666666666666667,0.66666666666666674,2.1333333333333329,1.8666666666666669,33.066666666666663,16.399999999999999,31.6,84,63.466666666666669,55.866666666666667,73.866666666666674,49.066666666666663,59.333333333333343,62.533333333333331,82.13333333333334
147.4,Animal_147_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,0,0,4.666666666666667,1.0666666666666671,7.1999999999999993,14.4,58.8,38.4,16.399999999999999,46.93333333333333,61.866666666666667,46.533333333333331,48.133333333333333,72.13333333333334
148.4,Animal_148_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,1.7333333333333329,0,0,3.4666666666666659,0,13.2,18.399999999999999,31.2,22.266666666666669,6.5333333333333323,51.866666666666667,43.866666666666667,31.333333333333339,69.466666666666669,76.533333333333331
150.3,Animal_150_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,2.2666666666666671,15.866666666666671,8.7999999999999989,10.266666666666669,3.066666666666666,11.733333333333331,32,29.733333333333331,21.06666666666667,50.8,67.86666666666666,61.06666666666667,68.400000000000006,38.799999999999997,85.333333333333343
150.5,Animal_150_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,2.5333333333333332,5.6000000000000014,0,0,0,1.8666666666666669,6.9333333333333327,9.0666666666666664,18.666666666666671,20.93333333333333,34.666666666666671,20.93333333333333,30,38.266666666666673
152.3,Animal_152_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,0,0,0,0,4.5333333333333332,6.666666666666667,32.666666666666657,18.133333333333329,46.8,38.93333333333333,36.533333333333331,53.466666666666661,37.733333333333327,50.266666666666673
