animal_id,animal,group,project,experiment,syllable,syllable_frames,freezing_frames,overlap_frames,precision_percent,recall_percent
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,31,47,2545,0,0,0
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,32,112,2545,33,29.464285714285719,1.296660117878192
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,33,5,2545,2,40,7.8585461689587424E-2
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,34,37,2545,0,0,0
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,35,65,2545,24,36.923076923076927,0.94302554027504915
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,36,17,2545,4,23.52941176470588,0.15717092337917479
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,37,154,2545,2,1.2987012987012989,7.8585461689587424E-2
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,38,327,2545,106,32.415902140672777,4.1650294695481334
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,39,35,2545,0,0,0
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,40,218,2545,192,88.073394495412856,7.5442043222003932
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,42,11,2545,0,0,0
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,53,24,2545,24,100,0.94302554027504915
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,54,16,2545,0,0,0
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0,2621,3987,2196,83.784814956123626,55.079006772009031
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,1,1491,3987,151,10.127431254191819,3.7873087534487091
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,2,640,3987,15,2.34375,0.3762227238525207
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,3,1090,3987,43,3.9449541284403669,1.0785051417105589
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,4,843,3987,394,46.737841043890867,9.8821168798595433
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,5,421,3987,20,4.7505938242280283,0.5016302984700276
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,6,531,3987,18,3.3898305084745761,0.45146726862302478
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,7,92,3987,0,0,0
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,8,58,3987,12,20.68965517241379,0.30097817908201652
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,9,59,3987,10,16.949152542372879,0.2508151492350138
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,10,42,3987,2,4.7619047619047619,5.0163029847002751E-2
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,11,40,3987,4,10,0.1003260596940055
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,12,31,3987,2,6.4516129032258061,5.0163029847002751E-2
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,13,472,3987,70,14.83050847457627,1.7557060446450961
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,14,15,3987,0,0,0
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,15,22,3987,0,0,0
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,16,19,3987,0,0,0
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,17,93,3987,17,18.27956989247312,0.42638575369952342
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,18,68,3987,4,5.8823529411764701,0.1003260596940055
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,19,35,3987,2,5.7142857142857144,5.0163029847002751E-2
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,20,117,3987,8,6.8376068376068382,0.200652119388011
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,21,21,3987,0,0,0
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,22,487,3987,51,10.47227926078029,1.27915726109857
