animal_id,group,experiment,Unmapped_or_excluded,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn
11.4,Control,1,0.35191956124314439,4.113345521023766E-2,0.15265082266910421,5.9414990859232176E-3,1.371115173674589E-2,2.7422303473491769E-2,2.056672760511883E-2,0.38665447897623401
11.6,Control,1,0.37235996326905418,3.6730945821854908E-3,0.25711662075298441,4.1322314049586778E-3,6.8870523415977963E-3,2.3415977961432511E-2,1.6069788797061529E-2,0.31634527089072539
123.1,ELS,3,0.13750000000000001,2.35E-2,0.2545,1E-3,1.5E-3,8.5000000000000006E-3,6.5000000000000002E-2,0.50849999999999995
123.3,ELS,3,0.18115234375,1.171875E-2,0.27880859375,9.765625E-4,7.8125E-3,4.00390625E-2,6.34765625E-3,0.47314453125
128.4,ELS,3,0.1027190332326284,4.4813695871097681E-2,0.26283987915407853,,8.0563947633434038E-3,1.1581067472306141E-2,0.25478348439073523,0.3152064451158107
129.1,Control,3,0.1510605276771857,2.379720641489912E-2,0.32281427832384901,,3.1039834454216239E-3,7.7599586135540608E-3,0.20124159337816869,0.29022245214692188
129.4,Control,3,0.16298200514138819,2.622107969151671E-2,0.35372750642673523,,9.2544987146529565E-3,7.7120822622107968E-3,1.7480719794344471E-2,0.42262210796915167
133.3,ELS,3,0.17575462512171369,6.3291139240506328E-3,0.3296007789678676,,1.8500486854917231E-2,3.3106134371957148E-2,1.119766309639727E-2,0.42551119766309642
134.2,ELS,3,0.18692044899951199,2.0985846754514401E-2,0.26939970717423128,9.760858955588092E-4,1.9033674963396779E-2,7.5158613958028309E-2,6.8326012689116644E-3,0.42069302098584682
134.4,ELS,3,0.16166505324298161,7.7444336882865443E-3,0.23281703775411419,4.8402710551790902E-4,1.306873184898354E-2,5.6631171345595352E-2,1.548886737657309E-2,0.51210067763794775
136.2,Control,3,0.125249500998004,4.6407185628742513E-2,0.2435129740518962,,2.4950099800399202E-3,1.1976047904191619E-2,0.1127744510978044,0.45758483033932129
136.3,Control,3,0.19510978043912169,9.4810379241516973E-3,0.21257485029940121,,,1.3473053892215569E-2,4.1916167664670663E-2,0.52744510978043913
136.5,Control,3,0.28271983640081799,8.1799591002044997E-3,0.33844580777096123,,1.533742331288344E-3,8.1799591002044997E-3,8.537832310838446E-2,0.27556237218813912
137.3,Control,3,0.16682974559686889,6.262230919765166E-2,8.85518590998043E-2,,3.9138943248532287E-3,5.2348336594911928E-2,0.15851272015655579,0.4672211350293542
144.3,ELS,3,0.1044776119402985,2.4875621890547261E-2,0.13233830845771141,,5.9701492537313433E-3,2.039800995024876E-2,9.7512437810945277E-2,0.61442786069651745
144.5,ELS,3,0.15529531568228111,1.680244399185336E-2,0.18584521384928721,1.018329938900204E-3,,1.3747454175152749E-2,0.17107942973523421,0.45621181262729132
145.5,Control,3,0.17068466730954679,4.7733847637415623E-2,0.24108003857280619,,7.7145612343297977E-3,3.8090646094503383E-2,2.2179363548698171E-2,0.47251687560270011
146.6,Control,3,0.17380720545277509,5.3554040895813044E-3,0.38656280428432332,4.8685491723466409E-4,1.3145082765335931E-2,2.7263875365141192E-2,1.9961051606621229E-2,0.37341772151898728
147.4,Control,3,0.24824684431977559,1.5895278167367931E-2,0.25572697522206639,3.7400654511453948E-3,1.075268817204301E-2,4.0205703599812993E-2,1.5895278167367931E-2,0.40953716690042069
148.4,ELS,3,0.1871733966745843,1.5676959619952489E-2,0.22897862232779101,,1.1876484560570069E-2,9.9762470308788598E-2,1.1876484560570069E-2,0.44465558194774352
15.4,ELS,1,0.31220209723546227,1.715919923736892E-2,0.16634890371782651,2.859866539561487E-3,8.1029551954242135E-3,3.3841754051477588E-2,7.8169685414680654E-2,0.38131553860819828
15.6,ELS,1,0.26954050213169112,1.800094741828517E-2,0.17337754618664139,4.7370914258645204E-3,1.515869256276646E-2,2.0369493131217432E-2,4.1212695405021323E-2,0.45760303173851258
150.3,ELS,3,9.1090094574415137E-2,1.393728222996516E-2,0.33449477351916379,4.9776007964161273E-4,7.466401194624191E-3,7.466401194624191E-3,0.1030363364858138,0.44201095072175212
150.5,ELS,3,0.15026921194322079,9.9853157121879588E-2,0.13020068526676459,,4.8947626040137049E-3,5.3352912383749389E-2,0.14047968673519329,0.42094958394517867
152.3,Control,3,0.22294172062904721,3.515263644773358E-2,0.20397779833487509,,1.1100832562442179E-2,0.14014801110083261,4.6253469010175763E-3,0.38205365402405178
152.5,Control,3,0.13695338779432961,3.1234983181162902E-2,0.3382988947621336,9.6107640557424319E-4,1.1532916866890921E-2,3.6040365209034121E-2,1.3935607880826531E-2,0.43104276790004797
153.4,ELS,3,0.1243731193580742,1.303911735205617E-2,0.27131394182547641,5.0150451354062187E-4,1.203610832497492E-2,1.8555667001003012E-2,4.3630892678034112E-2,0.51654964894684052
154.4,ELS,3,0.15779189057156809,3.4684904738641907E-2,0.2398632144601856,,1.8075232046897899E-2,4.1524181729360038E-2,1.8075232046897899E-2,0.48998534440644848
157.1,Control,3,0.33055940822931112,7.8594544613962095E-3,0.1756819232547388,,6.4724919093851136E-3,0.10171058714748039,7.3971336107258433E-3,0.37031900138696261
157.4,Control,3,0.22725107193901861,4.4306812767984753E-2,0.18389709385421629,2.3820867079561701E-3,1.095759885659838E-2,3.5731300619342543E-2,8.0990948070509775E-3,0.48737494044783231
158.5,Control,3,0.1673076923076923,4.567307692307692E-2,0.27836538461538463,1.923076923076923E-3,1.7307692307692309E-2,2.9807692307692309E-2,1.298076923076923E-2,0.44663461538461541
159.3,ELS,3,9.3415007656967836E-2,7.2485962225625325E-2,0.12557427258805509,,2.5523226135783562E-3,1.42930066360388E-2,0.21949974476773859,0.47217968351199591
159.4,ELS,3,0.13001523616048749,2.5901472828847132E-2,0.3341797866937532,,5.0787201625190448E-4,9.141696292534281E-3,0.11274758760792281,0.38750634840020309
159.5,ELS,3,0.1089808274470232,3.9354187689202833E-2,0.1019172552976791,,5.5499495459132193E-3,1.5136226034308781E-2,0.2139253279515641,0.51513622603430875
161.1,Control,3,0.14335317460317459,1.240079365079365E-2,0.34325396825396831,,1.28968253968254E-2,2.48015873015873E-2,3.968253968253968E-3,0.4593253968253968
161.3,Control,3,0.13235294117647059,1.9607843137254902E-2,0.27254901960784311,,1.42156862745098E-2,4.7058823529411757E-2,2.8921568627450982E-2,0.48529411764705882
2.4,ELS,1,0.31323662737987312,1.8132366273798731E-2,0.1940163191296464,7.7062556663644614E-3,1.178603807796917E-2,2.039891205802357E-2,2.221214868540345E-2,0.4125113327289211
23.4,ELS,1,0.25487465181058488,2.739090064995358E-2,0.14716805942432681,9.2850510677808728E-4,6.4995357474466114E-3,7.1494893221912714E-2,1.439182915506035E-2,0.47725162488393691
25.1,ELS,1,0.28377110694183871,,0.13602251407129459,2.345215759849906E-3,1.4540337711069421E-2,3.7054409005628508E-2,1.6885553470919329E-2,0.50938086303939967
26.4,ELS,1,0.1650342801175318,2.3016650342801179E-2,0.27571008814887371,,5.8765915768854062E-3,5.2889324191968658E-2,7.3457394711067582E-3,0.47012732615083253
