animal_id,group,experiment,cluster,time_s,time_bin,pct
11.6,Control,1,Freeze,360,330,32.13333333333333
11.6,Control,1,Freeze,390,360,48.39999999999999
11.6,Control,1,Freeze,420,390,65.86666666666667
11.6,Control,1,Freeze,450,420,61.06666666666667
11.6,Control,1,Sniff,30,0,0.0
11.6,Control,1,Sniff,60,30,0.0
11.6,Control,1,Sniff,90,60,9.466666666666669
11.6,Control,1,Sniff,120,90,0.0
11.6,Control,1,Sniff,150,120,0.0
11.6,Control,1,Sniff,180,150,0.0
11.6,Control,1,Sniff,210,180,9.066666666666666
11.6,Control,1,Sniff,240,210,0.0
11.6,Control,1,Sniff,270,240,0.0
11.6,Control,1,Sniff,300,270,0.0
11.6,Control,1,Sniff,330,300,0.0
11.6,Control,1,Sniff,360,330,3.8666666666666663
11.6,Control,1,Sniff,390,360,2.2666666666666666
11.6,Control,1,Sniff,420,390,0.0
11.6,Control,1,Sniff,450,420,0.0
11.6,Control,1,Groom,30,0,0.1333333333333333
11.6,Control,1,Groom,60,30,0.4
11.6,Control,1,Groom,90,60,0.1333333333333333
11.6,Control,1,Groom,120,90,0.1333333333333333
11.6,Control,1,Groom,150,120,0.0
11.6,Control,1,Groom,180,150,0.5333333333333333
11.6,Control,1,Groom,210,180,0.0
11.6,Control,1,Groom,240,210,0.0
11.6,Control,1,Groom,270,240,0.0
11.6,Control,1,Groom,300,270,0.0
11.6,Control,1,Groom,330,300,0.0
11.6,Control,1,Groom,360,330,0.0
11.6,Control,1,Groom,390,360,0.0
11.6,Control,1,Groom,420,390,0.0
11.6,Control,1,Groom,450,420,0.0
11.6,Control,1,Turn,30,0,65.06666666666666
11.6,Control,1,Turn,60,30,24.53333333333333
11.6,Control,1,Turn,90,60,45.333333333333336
11.6,Control,1,Turn,120,90,40.666666666666664
11.6,Control,1,Turn,150,120,68.66666666666667
11.6,Control,1,Turn,180,150,40.53333333333333
11.6,Control,1,Turn,210,180,49.2
11.6,Control,1,Turn,240,210,0.0
11.6,Control,1,Turn,270,240,0.0
11.6,Control,1,Turn,300,270,26.133333333333333
11.6,Control,1,Turn,330,300,32.13333333333334
11.6,Control,1,Turn,360,330,31.466666666666665
11.6,Control,1,Turn,390,360,16.666666666666668
11.6,Control,1,Turn,420,390,25.866666666666664
11.6,Control,1,Turn,450,420,25.46666666666666
11.6,Control,1,Locomotion,30,0,0.8
11.6,Control,1,Locomotion,60,30,1.0666666666666669
11.6,Control,1,Locomotion,90,60,0.6666666666666666
11.6,Control,1,Locomotion,120,90,2.8000000000000007
11.6,Control,1,Locomotion,150,120,1.4666666666666666
11.6,Control,1,Locomotion,180,150,2.2666666666666666
11.6,Control,1,Locomotion,210,180,1.7333333333333336
11.6,Control,1,Locomotion,240,210,1.7333333333333332
11.6,Control,1,Locomotion,270,240,0.0
11.6,Control,1,Locomotion,300,270,4.533333333333333
11.6,Control,1,Locomotion,330,300,0.9333333333333336
11.6,Control,1,Locomotion,360,330,0.1333333333333333
11.6,Control,1,Locomotion,390,360,1.6000000000000003
11.6,Control,1,Locomotion,420,390,2.2666666666666666
11.6,Control,1,Locomotion,450,420,0.5333333333333333
11.6,Control,1,Climb,30,0,0.0
11.6,Control,1,Climb,60,30,0.0
11.6,Control,1,Climb,90,60,0.0
11.6,Control,1,Climb,120,90,0.0
11.6,Control,1,Climb,150,120,0.0
11.6,Control,1,Climb,180,150,0.0
11.6,Control,1,Climb,210,180,0.0
11.6,Control,1,Climb,240,210,0.0
11.6,Control,1,Climb,270,240,0.0
11.6,Control,1,Climb,300,270,5.733333333333333
11.6,Control,1,Climb,330,300,0.0
11.6,Control,1,Climb,360,330,0.0
11.6,Control,1,Climb,390,360,0.0
11.6,Control,1,Climb,420,390,0.0
11.6,Control,1,Climb,450,420,0.0
11.6,Control,1,Jump,30,0,0.0
11.6,Control,1,Jump,60,30,0.0
11.6,Control,1,Jump,90,60,0.0
11.6,Control,1,Jump,120,90,0.0
11.6,Control,1,Jump,150,120,0.0
11.6,Control,1,Jump,180,150,0.0
11.6,Control,1,Jump,210,180,2.9333333333333336
11.6,Control,1,Jump,240,210,0.0
11.6,Control,1,Jump,270,240,0.0
11.6,Control,1,Jump,300,270,3.066666666666667
11.6,Control,1,Jump,330,300,0.0
11.6,Control,1,Jump,360,330,0.0
11.6,Control,1,Jump,390,360,0.4
11.6,Control,1,Jump,420,390,0.2666666666666666
11.6,Control,1,Jump,450,420,0.0
123.1,ELS,3,Freeze,30,0,7.6
123.1,ELS,3,Freeze,60,30,10.533333333333331
123.1,ELS,3,Freeze,90,60,0.0
123.1,ELS,3,Freeze,120,90,2.4
123.1,ELS,3,Freeze,150,120,0.8
123.1,ELS,3,Freeze,180,150,12.4
123.1,ELS,3,Freeze,210,180,19.066666666666663
123.1,ELS,3,Freeze,240,210,20.4
123.1,ELS,3,Freeze,270,240,50.66666666666667
123.1,ELS,3,Freeze,300,270,23.73333333333333
123.1,ELS,3,Freeze,330,300,46.400000000000006
123.1,ELS,3,Freeze,360,330,43.6
123.1,ELS,3,Freeze,390,360,35.333333333333336
123.1,ELS,3,Freeze,420,390,45.33333333333333
123.1,ELS,3,Freeze,450,420,59.73333333333334
123.1,ELS,3,Sniff,30,0,2.2666666666666666
123.1,ELS,3,Sniff,60,30,3.733333333333334
123.1,ELS,3,Sniff,90,60,48.13333333333333
123.1,ELS,3,Sniff,120,90,26.4
123.1,ELS,3,Sniff,150,120,0.0
123.1,ELS,3,Sniff,180,150,0.0
123.1,ELS,3,Sniff,210,180,22.53333333333333
123.1,ELS,3,Sniff,240,210,0.0
123.1,ELS,3,Sniff,270,240,0.0
123.1,ELS,3,Sniff,300,270,0.0
123.1,ELS,3,Sniff,330,300,0.0
123.1,ELS,3,Sniff,360,330,0.0
123.1,ELS,3,Sniff,390,360,0.0
123.1,ELS,3,Sniff,420,390,0.0
123.1,ELS,3,Sniff,450,420,0.0
123.1,ELS,3,Groom,30,0,0.0
123.1,ELS,3,Groom,60,30,0.2666666666666666
123.1,ELS,3,Groom,90,60,0.0
123.1,ELS,3,Groom,120,90,0.0
123.1,ELS,3,Groom,150,120,0.0
123.1,ELS,3,Groom,180,150,0.0
123.1,ELS,3,Groom,210,180,0.0
123.1,ELS,3,Groom,240,210,0.0
123.1,ELS,3,Groom,270,240,0.0
123.1,ELS,3,Groom,300,270,0.0
123.1,ELS,3,Groom,330,300,0.0
123.1,ELS,3,Groom,360,330,0.0
123.1,ELS,3,Groom,390,360,0.0
123.1,ELS,3,Groom,420,390,0.0
123.1,ELS,3,Groom,450,420,0.0
123.1,ELS,3,Turn,30,0,68.39999999999999
123.1,ELS,3,Turn,60,30,60.93333333333334
123.1,ELS,3,Turn,90,60,35.46666666666666
123.1,ELS,3,Turn,120,90,65.06666666666666
123.1,ELS,3,Turn,150,120,44.4
123.1,ELS,3,Turn,180,150,59.2
123.1,ELS,3,Turn,210,180,50.53333333333333
123.1,ELS,3,Turn,240,210,77.6
123.1,ELS,3,Turn,270,240,48.66666666666667
123.1,ELS,3,Turn,300,270,57.333333333333336
123.1,ELS,3,Turn,330,300,53.2
123.1,ELS,3,Turn,360,330,51.599999999999994
123.1,ELS,3,Turn,390,360,37.733333333333334
123.1,ELS,3,Turn,420,390,44.0
123.1,ELS,3,Turn,450,420,17.333333333333336
123.1,ELS,3,Locomotion,30,0,0.0
123.1,ELS,3,Locomotion,60,30,0.0
123.1,ELS,3,Locomotion,90,60,0.5333333333333333
123.1,ELS,3,Locomotion,120,90,2.1333333333333333
123.1,ELS,3,Locomotion,150,120,0.0
123.1,ELS,3,Locomotion,180,150,0.0
123.1,ELS,3,Locomotion,210,180,0.0
123.1,ELS,3,Locomotion,240,210,0.0
123.1,ELS,3,Locomotion,270,240,0.0
123.1,ELS,3,Locomotion,300,270,0.0
123.1,ELS,3,Locomotion,330,300,0.4
123.1,ELS,3,Locomotion,360,330,0.0
123.1,ELS,3,Locomotion,390,360,6.266666666666667
123.1,ELS,3,Locomotion,420,390,1.0666666666666669
123.1,ELS,3,Locomotion,450,420,0.0
123.1,ELS,3,Climb,30,0,0.0
123.1,ELS,3,Climb,60,30,0.0
123.1,ELS,3,Climb,90,60,9.866666666666667
123.1,ELS,3,Climb,120,90,0.0
123.1,ELS,3,Climb,150,120,7.466666666666668
123.1,ELS,3,Climb,180,150,5.733333333333333
123.1,ELS,3,Climb,210,180,0.0
123.1,ELS,3,Climb,240,210,0.0
123.1,ELS,3,Climb,270,240,0.0
123.1,ELS,3,Climb,300,270,11.866666666666667
123.1,ELS,3,Climb,330,300,0.0
123.1,ELS,3,Climb,360,330,0.0
123.1,ELS,3,Climb,390,360,0.0
123.1,ELS,3,Climb,420,390,0.0
123.1,ELS,3,Climb,450,420,0.0
123.1,ELS,3,Jump,30,0,0.0
123.1,ELS,3,Jump,60,30,0.0
123.1,ELS,3,Jump,90,60,0.0
123.1,ELS,3,Jump,120,90,0.0
123.1,ELS,3,Jump,150,120,0.0
123.1,ELS,3,Jump,180,150,0.0
123.1,ELS,3,Jump,210,180,0.0
123.1,ELS,3,Jump,240,210,0.0
123.1,ELS,3,Jump,270,240,0.0
123.1,ELS,3,Jump,300,270,1.2
123.1,ELS,3,Jump,330,300,0.0
123.1,ELS,3,Jump,360,330,0.0
123.1,ELS,3,Jump,390,360,0.0
123.1,ELS,3,Jump,420,390,0.0
123.1,ELS,3,Jump,450,420,0.0
123.3,ELS,3,Freeze,30,0,0.0
123.3,ELS,3,Freeze,60,30,0.0
123.3,ELS,3,Freeze,90,60,0.0
123.3,ELS,3,Freeze,120,90,0.0
123.3,ELS,3,Freeze,150,120,0.0
123.3,ELS,3,Freeze,180,150,4.933333333333334
123.3,ELS,3,Freeze,210,180,16.133333333333333
123.3,ELS,3,Freeze,240,210,54.53333333333333
123.3,ELS,3,Freeze,270,240,39.2
123.3,ELS,3,Freeze,300,270,21.066666666666663
123.3,ELS,3,Freeze,330,300,61.2
123.3,ELS,3,Freeze,360,330,62.93333333333333
123.3,ELS,3,Freeze,390,360,47.86666666666667
123.3,ELS,3,Freeze,420,390,56.266666666666666
123.3,ELS,3,Freeze,450,420,78.93333333333334
123.3,ELS,3,Sniff,30,0,0.0
123.3,ELS,3,Sniff,60,30,0.0
123.3,ELS,3,Sniff,90,60,0.0
123.3,ELS,3,Sniff,120,90,0.0
123.3,ELS,3,Sniff,150,120,0.0
123.3,ELS,3,Sniff,180,150,0.0
123.3,ELS,3,Sniff,210,180,0.0
123.3,ELS,3,Sniff,240,210,0.0
123.3,ELS,3,Sniff,270,240,0.0
123.3,ELS,3,Sniff,300,270,0.0
123.3,ELS,3,Sniff,330,300,0.0
123.3,ELS,3,Sniff,360,330,0.0
123.3,ELS,3,Sniff,390,360,0.0
123.3,ELS,3,Sniff,420,390,0.0
123.3,ELS,3,Sniff,450,420,9.866666666666667
123.3,ELS,3,Groom,30,0,0.0
123.3,ELS,3,Groom,60,30,0.0
123.3,ELS,3,Groom,90,60,0.2666666666666666
123.3,ELS,3,Groom,120,90,0.0
123.3,ELS,3,Groom,150,120,0.0
123.3,ELS,3,Groom,180,150,0.0
123.3,ELS,3,Groom,210,180,0.0
123.3,ELS,3,Groom,240,210,0.2666666666666666
123.3,ELS,3,Groom,270,240,0.0
123.3,ELS,3,Groom,300,270,0.0
123.3,ELS,3,Groom,330,300,0.0
123.3,ELS,3,Groom,360,330,0.0
123.3,ELS,3,Groom,390,360,0.0
123.3,ELS,3,Groom,420,390,0.0
123.3,ELS,3,Groom,450,420,0.0
123.3,ELS,3,Turn,30,0,60.93333333333333
123.3,ELS,3,Turn,60,30,69.33333333333334
123.3,ELS,3,Turn,90,60,64.13333333333333
123.3,ELS,3,Turn,120,90,39.86666666666667
123.3,ELS,3,Turn,150,120,45.333333333333336
123.3,ELS,3,Turn,180,150,75.33333333333333
123.3,ELS,3,Turn,210,180,46.93333333333334
123.3,ELS,3,Turn,240,210,38.4
123.3,ELS,3,Turn,270,240,60.13333333333334
123.3,ELS,3,Turn,300,270,68.13333333333334
123.3,ELS,3,Turn,330,300,29.333333333333332
123.3,ELS,3,Turn,360,330,24.0
123.3,ELS,3,Turn,390,360,45.6
123.3,ELS,3,Turn,420,390,41.333333333333336
123.3,ELS,3,Turn,450,420,11.2
123.3,ELS,3,Locomotion,30,0,5.333333333333334
123.3,ELS,3,Locomotion,60,30,4.4
123.3,ELS,3,Locomotion,90,60,4.133333333333335
123.3,ELS,3,Locomotion,120,90,6.4
123.3,ELS,3,Locomotion,150,120,9.6
123.3,ELS,3,Locomotion,180,150,5.333333333333334
123.3,ELS,3,Locomotion,210,180,1.8666666666666667
123.3,ELS,3,Locomotion,240,210,2.8000000000000003
123.3,ELS,3,Locomotion,270,240,0.6666666666666667
123.3,ELS,3,Locomotion,300,270,2.933333333333333
123.3,ELS,3,Locomotion,330,300,0.0
123.3,ELS,3,Locomotion,360,330,1.4666666666666666
123.3,ELS,3,Locomotion,390,360,3.0666666666666664
123.3,ELS,3,Locomotion,420,390,1.5999999999999999
123.3,ELS,3,Locomotion,450,420,0.0
123.3,ELS,3,Climb,30,0,0.0
123.3,ELS,3,Climb,60,30,0.0
123.3,ELS,3,Climb,90,60,0.0
123.3,ELS,3,Climb,120,90,3.733333333333334
123.3,ELS,3,Climb,150,120,4.0
123.3,ELS,3,Climb,180,150,2.8000000000000003
123.3,ELS,3,Climb,210,180,6.533333333333332
123.3,ELS,3,Climb,240,210,0.4
123.3,ELS,3,Climb,270,240,0.0
123.3,ELS,3,Climb,300,270,0.0
123.3,ELS,3,Climb,330,300,0.0
123.3,ELS,3,Climb,360,330,0.0
