syllable,mean_recall,mean_precision,mean_f1,percent_of_total_frames,cumulative_coverage
0,76.05353173460892,80.79874610100852,0.7786634060439015,19.579945799457995,19.579945799457995
1,6.4714894425437945,6.2922472856460265,0.057701486989741105,18.6310027100271,38.21094850948509
2,0.33752462271527395,0.5201279248269236,0.0037750964625856073,9.56509485094851,47.776043360433604
3,1.2769898829632265,2.706492324899798,0.01615549350920903,8.886178861788618,56.662222222222226
6,0.8698717763585534,2.9243360642153027,0.011405392701495848,7.2995121951219515,63.961734417344175
5,0.42726992581796386,1.7605604552778382,0.006105394845111535,5.672953929539296,69.63468834688346
13,4.072263667199382,16.961738449108203,0.05787294413112106,4.138753387533875,73.77344173441733
18,0.2454468998578619,0.9815438357553964,0.002331805350081082,3.5941463414634147,77.36758807588075
4,2.817339057079411,18.018854267698835,0.045992225323258557,2.4788075880758806,79.84639566395663
10,0.14642542894698274,1.8762495691735273,0.002396183605616481,1.9007046070460702,81.7471002710027
7,0.07860843204482569,1.0056059809129663,0.0013784467945894246,1.7616260162601625,83.50872628726286
27,0.03763695045499725,0.5596976545933785,0.0006374075762905668,1.3475338753387534,84.85626016260161
14,0.01696349089576693,0.11890548053059896,0.00022463255047270426,1.3061246612466124,86.16238482384823
26,0.6442607551901254,6.0897079845654805,0.009552946251134425,1.244119241192412,87.40650406504064
28,5.681696626802214,76.09187360037504,0.10179323746419375,1.1824390243902438,88.58894308943088
20,0.8235714002432317,10.679183651998763,0.014425388714076849,1.1313821138211382,89.72032520325202
12,0.03044678795563301,0.6096701711549556,0.000570475397366442,1.0517073170731706,90.77203252032518
11,0.05758744364147299,1.3480417462064982,0.0010416832466448595,0.8882384823848238,91.66027100271
37,0.1566649165618822,1.1607266619599697,0.002301921134472083,0.841409214092141,92.50168021680214
22,0.3070882771422638,5.275782918165329,0.005671587032632,0.8086720867208672,93.310352303523
15,0.03587982156767242,2.047841877132617,0.0006713623860167728,0.7409214092140921,94.0512737127371
17,0.0839998430466697,3.092835566906476,0.0015735281037417275,0.7069918699186992,94.7582655826558
25,0.004368534569995222,0.12098151939717643,8.190056319974277e-05,0.6913821138211382,95.44964769647693
16,0.02451012786073381,0.6969318631359536,0.00046387168422519834,0.6082384823848238,96.05788617886175
9,0.044717753180700204,1.6789349388507344,0.0008514599381908471,0.4961517615176152,96.55403794037936
32,0.10088339671287484,2.677618269970679,0.0018842476053403596,0.47002710027100275,97.02406504065036
19,0.012336012270715001,1.3554773321330023,0.0002350647714985421,0.43989159891598917,97.46395663956635
21,0.020945068438436774,1.1123102134227405,0.0004049445623513179,0.41712737127371274,97.88108401084006
23,0.03127015484181521,2.8125888995454216,0.0006132427695363718,0.28964769647696476,98.17073170731702
8,0.11614298036071655,4.926939188696048,0.0022545908278158505,0.2641734417344173,98.43490514905143
38,1.014274941529751,20.647796780166566,0.018232320669520286,0.19230352303523035,98.62720867208667
30,0.006699441665680757,0.3021353930031804,0.00013076090629551406,0.17040650406504065,98.79761517615171
40,1.9983020917543766,53.247445952922526,0.037259447757457105,0.15880758807588077,98.95642276422758
34,0.055198086370898194,3.703598740363393,0.0010500970364250377,0.1386449864498645,99.09506775067744
31,0.0809269372184304,5.736652639654788,0.001580124439710561,0.13257452574525747,99.2276422764227
29,0.007797576327119067,0.7211761882853698,0.00015394801952442914,0.12195121951219512,99.3495934959349
35,0.08029750665029839,9.863934119957236,0.0015689679116292754,0.11468834688346884,99.46428184281837
44,0.6192531696351032,19.605091314939322,0.010715203673761544,0.10319783197831978,99.56747967479669
33,0.02893537003824291,5.11362298961224,0.0005727913460496672,0.06471544715447154,99.63219512195116
36,0.07293026791090941,12.54142457872163,0.0014369043950504912,0.05745257452574525,99.6896476964769
39,0.04885287971407092,13.784457637531101,0.0009693853130258156,0.05029810298102981,99.73994579945793
24,0.02001269164929864,2.9885784760009493,0.00039519929027574376,0.04856368563685637,99.78850948509478
41,0.004475857382538442,1.062753036437247,8.882657366351912e-05,0.04617886178861789,99.8346883468834
42,0.16416271504796487,10.683324755815093,0.0032098237296725144,0.0389159891598916,99.87360433604329
45,0.004386542088871343,0.7936507936507936,8.7248614928238e-05,0.016693766937669375,99.89029810298095
43,0.00600672753483902,1.3888888888888888,0.00011961722488038278,0.012357723577235774,99.90265582655819
65,0.01172607879924953,1.8518518518518516,0.0002330459100442787,0.00943089430894309,99.91208672086714
75,0.0,0.0,0.0,0.0055284552845528455,99.91761517615168
46,0.0,0.0,0.0,0.0055284552845528455,99.92314363143623
48,0.17157917383820998,28.532608695652172,0.003393898778178789,0.005094850948509485,99.92823848238474
58,0.0,0.0,0.0,0.004336043360433604,99.93257452574518
53,0.2357563850687623,25.0,0.004671078240560529,0.004010840108401084,99.93658536585359
50,0.03968253968253969,9.523809523809524,0.000790357636830666,0.003794037940379404,99.94037940379397
64,0.0,0.0,0.0,0.0035772357723577236,99.94395663956632
67,0.0,0.0,0.0,0.003252032520325203,99.94720867208665
78,0.0,0.0,0.0,0.002818428184281843,99.95002710027093
54,0.0,0.0,0.0,0.002818428184281843,99.95284552845521
47,0.014880952380952382,6.25,0.0002969121140142518,0.0026016260162601626,99.95544715447147
87,0.0,0.0,0.0,0.0026016260162601626,99.95804878048773
57,0.011100011100011098,3.3333333333333335,0.00022126341409447946,0.0022764227642276423,99.96032520325195
76,0.06402048655569782,12.5,0.0012738853503184715,0.0022764227642276423,99.96260162601618
81,0.0,0.0,0.0,0.002168021680216802,99.9647696476964
59,0.0,0.0,0.0,0.002168021680216802,99.96693766937662
84,0.0,0.0,0.0,0.001951219512195122,99.96888888888881
51,0.03346720214190093,33.333333333333336,0.0006686726847208291,0.001951219512195122,99.970840108401
49,0.0,0.0,0.0,0.0018428184281842818,99.9726829268292
86,0.0,0.0,0.0,0.0017344173441734415,99.97441734417336
