animal_id,group,experiment,bin,time_s,pct_s0s28
32.2,ELS,1,0,30,8.133333333333333
32.2,ELS,1,1,60,1.3333333333333337
32.2,ELS,1,2,90,0.0
32.2,ELS,1,3,120,14.4
32.2,ELS,1,4,150,0.0
32.2,ELS,1,5,180,7.199999999999999
32.2,ELS,1,6,210,4.133333333333333
32.2,ELS,1,7,240,4.266666666666667
32.2,ELS,1,8,270,13.733333333333334
32.2,ELS,1,9,300,4.4
32.2,ELS,1,10,330,23.46666666666667
32.2,ELS,1,11,360,10.0
32.2,ELS,1,12,390,14.933333333333335
32.2,ELS,1,13,420,30.0
32.2,ELS,1,14,450,27.200000000000003
32.4,ELS,1,0,30,8.133333333333333
32.4,ELS,1,1,60,0.0
32.4,ELS,1,2,90,0.0
32.4,ELS,1,3,120,3.733333333333334
32.4,ELS,1,4,150,0.0
32.4,ELS,1,5,180,0.0
32.4,ELS,1,6,210,2.8000000000000003
32.4,ELS,1,7,240,24.799999999999997
32.4,ELS,1,8,270,20.53333333333333
32.4,ELS,1,9,300,3.4666666666666663
32.4,ELS,1,10,330,19.466666666666665
32.4,ELS,1,11,360,49.73333333333333
32.4,ELS,1,12,390,11.2
32.4,ELS,1,13,420,1.2
32.4,ELS,1,14,450,11.466666666666669
34.4,Control,1,0,30,0.0
34.4,Control,1,1,60,9.6
34.4,Control,1,2,90,0.0
34.4,Control,1,3,120,0.2666666666666666
34.4,Control,1,4,150,0.0
34.4,Control,1,5,180,0.0
34.4,Control,1,6,210,12.133333333333333
34.4,Control,1,7,240,0.0
34.4,Control,1,8,270,0.0
34.4,Control,1,9,300,7.866666666666666
34.4,Control,1,10,330,15.066666666666666
34.4,Control,1,11,360,7.866666666666666
34.4,Control,1,12,390,6.666666666666667
34.4,Control,1,13,420,25.866666666666667
34.4,Control,1,14,450,25.466666666666665
34.5,Control,1,0,30,1.2
34.5,Control,1,1,60,0.0
34.5,Control,1,2,90,0.0
34.5,Control,1,3,120,0.0
34.5,Control,1,4,150,3.333333333333333
34.5,Control,1,5,180,0.8
34.5,Control,1,6,210,19.333333333333332
34.5,Control,1,7,240,33.6
34.5,Control,1,8,270,6.0
34.5,Control,1,9,300,17.066666666666666
34.5,Control,1,10,330,38.13333333333333
34.5,Control,1,11,360,12.666666666666668
34.5,Control,1,12,390,19.2
34.5,Control,1,13,420,28.4
34.5,Control,1,14,450,32.4
40.4,Control,1,0,30,0.0
40.4,Control,1,1,60,4.533333333333333
40.4,Control,1,2,90,1.2
40.4,Control,1,3,120,0.0
40.4,Control,1,4,150,2.1333333333333333
40.4,Control,1,5,180,2.0
40.4,Control,1,6,210,3.2
40.4,Control,1,7,240,8.533333333333333
40.4,Control,1,8,270,14.266666666666666
40.4,Control,1,9,300,16.53333333333333
40.4,Control,1,10,330,36.13333333333333
40.4,Control,1,11,360,40.0
40.4,Control,1,12,390,26.8
40.4,Control,1,13,420,22.8
40.4,Control,1,14,450,20.266666666666666
40.6,Control,1,0,30,0.0
40.6,Control,1,1,60,5.866666666666666
40.6,Control,1,2,90,0.0
40.6,Control,1,3,120,4.133333333333333
40.6,Control,1,4,150,9.333333333333334
40.6,Control,1,5,180,22.666666666666664
40.6,Control,1,6,210,8.266666666666666
40.6,Control,1,7,240,15.466666666666665
40.6,Control,1,8,270,28.26666666666667
40.6,Control,1,9,300,17.066666666666666
40.6,Control,1,10,330,14.266666666666666
40.6,Control,1,11,360,34.0
40.6,Control,1,12,390,24.53333333333333
40.6,Control,1,13,420,10.533333333333331
40.6,Control,1,14,450,28.000000000000004
41.4,Control,1,0,30,1.2
41.4,Control,1,1,60,0.0
41.4,Control,1,2,90,2.8
41.4,Control,1,3,120,22.4
41.4,Control,1,4,150,5.333333333333333
41.4,Control,1,5,180,5.866666666666666
41.4,Control,1,6,210,3.8666666666666663
41.4,Control,1,7,240,18.266666666666666
41.4,Control,1,8,270,16.266666666666666
41.4,Control,1,9,300,40.66666666666666
41.4,Control,1,10,330,20.4
41.4,Control,1,11,360,31.066666666666666
41.4,Control,1,12,390,52.8
41.4,Control,1,13,420,90.4
41.4,Control,1,14,450,66.4
41.5,Control,1,0,30,11.333333333333332
41.5,Control,1,1,60,5.733333333333333
41.5,Control,1,2,90,4.0
41.5,Control,1,3,120,4.266666666666667
