,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn,Unassigned
Climbing,7459,2,0,54,201,151,89,44
Freezing,5,7267,0,0,3,87,342,296
Grooming,0,1,180,0,14,0,0,59
Jump,8,0,0,2004,159,1,0,19
Locomotion,233,2,1,162,7072,88,216,226
Sniffing,170,94,1,3,106,6636,765,225
Turn,202,288,5,0,521,1269,4842,873
Unassigned,360,489,43,82,932,548,1536,4010
