,precision,recall,f1,support
Climbing,0.88408201967524,0.932375,0.9075865425564276,8000.0
Freezing,0.8924229399484219,0.908375,0.9003283156786223,8000.0
Grooming,0.782608695652174,0.7086614173228346,0.743801652892562,254.0
Jump,0.86941431670282,0.9146508443633045,0.891459074733096,2191.0
Locomotion,0.7850799289520426,0.884,0.8316086547507056,8000.0
Sniffing,0.7558086560364464,0.8295,0.7909415971394518,8000.0
Turn,0.6215661103979461,0.60525,0.613299556681444,8000.0
Unassigned,0.6971488178025035,0.50125,0.5831878999418266,8000.0
