,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn,Unassigned
Climbing,0.95125,0.0,0.0,0.007833333333333333,0.016166666666666666,0.011166666666666667,0.007916666666666667,0.005666666666666667
Freezing,0.0004166666666666667,0.91725,8.333333333333333e-05,0.0,0.0005833333333333334,0.0085,0.040916666666666664,0.03225
Grooming,0.0,0.0033783783783783786,0.6925675675675675,0.006756756756756757,0.02702702702702703,0.0033783783783783786,0.0033783783783783786,0.2635135135135135
Jump,0.002861230329041488,0.0,0.0,0.9304721030042918,0.05751072961373391,0.0002861230329041488,0.0008583690987124463,0.008011444921316165
Locomotion,0.01925,0.00025,0.0,0.016083333333333335,0.9090833333333334,0.009416666666666667,0.017916666666666668,0.028
Sniffing,0.012166666666666666,0.007166666666666667,0.00025,8.333333333333333e-05,0.01,0.8848333333333334,0.06583333333333333,0.019666666666666666
Turn,0.018333333333333333,0.036833333333333336,0.0005,0.00025,0.05275,0.13716666666666666,0.6343333333333333,0.11983333333333333
Unassigned,0.03716666666666667,0.051083333333333335,0.003,0.008166666666666666,0.10466666666666667,0.05591666666666667,0.18075,0.55925
