,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn,Unassigned
Climbing,11415,0,0,94,194,134,95,68
Freezing,5,11007,1,0,7,102,491,387
Grooming,0,1,205,2,8,1,1,78
Jump,10,0,0,3252,201,1,3,28
Locomotion,231,3,0,193,10909,113,215,336
Sniffing,146,86,3,1,120,10618,790,236
Turn,220,442,6,3,633,1646,7612,1438
Unassigned,446,613,36,98,1256,671,2169,6711
