animal,cluster,seconds,percent
50.5,Freeze,151.25,36.93528693528694
50.5,Sniff,20.25,4.945054945054945
50.5,Groom,0.0,0.0
50.5,Turn,185.75,45.36019536019536
50.5,Locomotion,31.75,7.753357753357753
50.5,Climb,17.25,4.212454212454213
50.5,Jump,3.25,0.7936507936507936
