,precision,recall,f1,support
Climbing,0.7988587731811697,0.8053150795248641,0.802073934029419,34769.0
Freezing,0.8783700266461333,0.8962355337085911,0.8872128513645237,193467.0
Grooming,0.8062015503875969,0.23853211009174313,0.368141592920354,436.0
Jump,0.7519769949676491,0.8257025576255131,0.7871171645722026,6334.0
Locomotion,0.6512872048000473,0.48461589214629747,0.5557236891881667,45469.0
Sniffing,0.8156110788301375,0.19170099924885622,0.3104369781971654,43933.0
Turn,0.6852592626955042,0.9213670210724293,0.7859640937173215,416848.0
Unassigned,0.7289715453053661,0.33924174259976936,0.4630116103873083,192494.0
