,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn,Unassigned
Climbing,28000,26,1,202,439,38,4350,1713
Freezing,8,173392,1,2,19,186,18716,1143
Grooming,4,7,104,4,0,0,90,227
Jump,38,0,0,5230,611,0,106,349
Locomotion,1174,31,1,644,22035,62,14579,6943
Sniffing,391,1369,0,6,541,8422,31672,1532
Turn,2173,12512,2,85,4676,958,384070,12372
Unassigned,3262,10065,20,782,5512,660,106891,65302
