syllable,mean_recall,mean_precision,mean_f1,percent_of_total_frames,cumulative_coverage
0,76.05353173460892,80.79874610100852,0.7786634060439015,19.579945799457995,19.579945799457995
1,6.4714894425437945,6.2922472856460265,0.0577014869897411,18.6310027100271,38.21094850948509
2,0.3375246227152739,0.5201279248269236,0.0037750964625856,9.56509485094851,47.776043360433604
3,1.2769898829632265,2.706492324899798,0.016155493509209,8.886178861788618,56.662222222222226
6,0.8698717763585534,2.9243360642153027,0.0114053927014958,7.299512195121951,63.961734417344175
5,0.4272699258179638,1.7605604552778382,0.0061053948451115,5.672953929539296,69.63468834688346
13,4.072263667199382,16.961738449108203,0.057872944131121,4.138753387533875,73.77344173441733
18,0.2454468998578619,0.9815438357553964,0.002331805350081,3.5941463414634147,77.36758807588075
4,2.817339057079411,18.018854267698835,0.0459922253232585,2.4788075880758806,79.84639566395663
10,0.1464254289469827,1.8762495691735277,0.0023961836056164,1.9007046070460705,81.7471002710027
7,0.0786084320448256,1.0056059809129665,0.0013784467945894,1.7616260162601625,83.50872628726286
27,0.0376369504549972,0.5596976545933785,0.0006374075762905,1.3475338753387534,84.85626016260161
14,0.0169634908957669,0.1189054805305989,0.0002246325504727,1.3061246612466124,86.16238482384823
26,0.6442607551901254,6.0897079845654805,0.0095529462511344,1.244119241192412,87.40650406504064
28,5.681696626802214,76.09187360037504,0.1017932374641937,1.1824390243902438,88.58894308943088
20,0.8235714002432317,10.679183651998764,0.0144253887140768,1.1313821138211382,89.72032520325202
12,0.030446787955633,0.6096701711549556,0.0005704753973664,1.0517073170731706,90.77203252032518
11,0.0575874436414729,1.3480417462064982,0.0010416832466448,0.8882384823848238,91.66027100271
37,0.1566649165618822,1.1607266619599697,0.002301921134472,0.841409214092141,92.50168021680214
22,0.3070882771422638,5.275782918165329,0.005671587032632,0.8086720867208672,93.310352303523
15,0.0358798215676724,2.047841877132617,0.0006713623860167,0.7409214092140921,94.0512737127371
17,0.0839998430466697,3.092835566906476,0.0015735281037417,0.7069918699186992,94.7582655826558
25,0.0043685345699952,0.1209815193971764,8.190056319974277e-05,0.6913821138211382,95.44964769647693
16,0.0245101278607338,0.6969318631359536,0.0004638716842251,0.6082384823848238,96.05788617886175
9,0.0447177531807002,1.6789349388507344,0.0008514599381908,0.4961517615176152,96.55403794037936
32,0.1008833967128748,2.677618269970679,0.0018842476053403,0.4700271002710027,97.02406504065036
19,0.012336012270715,1.3554773321330025,0.0002350647714985,0.4398915989159891,97.46395663956635
21,0.0209450684384367,1.1123102134227405,0.0004049445623513,0.4171273712737127,97.88108401084006
23,0.0312701548418152,2.8125888995454216,0.0006132427695363,0.2896476964769647,98.17073170731702
8,0.1161429803607165,4.926939188696048,0.0022545908278158,0.2641734417344173,98.43490514905143
38,1.014274941529751,20.64779678016657,0.0182323206695202,0.1923035230352303,98.62720867208667
30,0.0066994416656807,0.3021353930031804,0.0001307609062955,0.1704065040650406,98.79761517615171
40,1.9983020917543768,53.247445952922526,0.0372594477574571,0.1588075880758807,98.95642276422758
34,0.0551980863708981,3.703598740363393,0.001050097036425,0.1386449864498645,99.09506775067744
31,0.0809269372184304,5.736652639654788,0.0015801244397105,0.1325745257452574,99.2276422764227
29,0.007797576327119,0.7211761882853698,0.0001539480195244,0.1219512195121951,99.3495934959349
35,0.0802975066502983,9.863934119957236,0.0015689679116292,0.1146883468834688,99.46428184281837
44,0.6192531696351032,19.60509131493932,0.0107152036737615,0.1031978319783197,99.56747967479669
33,0.0289353700382429,5.11362298961224,0.0005727913460496,0.0647154471544715,99.63219512195116
36,0.0729302679109094,12.54142457872163,0.0014369043950504,0.0574525745257452,99.6896476964769
39,0.0488528797140709,13.7844576375311,0.0009693853130258,0.0502981029810298,99.73994579945793
24,0.0200126916492986,2.9885784760009493,0.0003951992902757,0.0485636856368563,99.78850948509478
41,0.0044758573825384,1.062753036437247,8.882657366351912e-05,0.0461788617886178,99.8346883468834
42,0.1641627150479648,10.683324755815091,0.0032098237296725,0.0389159891598916,99.87360433604329
45,0.0043865420888713,0.7936507936507936,8.7248614928238e-05,0.0166937669376693,99.89029810298095
43,0.006006727534839,1.3888888888888888,0.0001196172248803,0.0123577235772357,99.90265582655819
65,0.0117260787992495,1.851851851851852,0.0002330459100442,0.009430894308943,99.91208672086714
46,0.0,0.0,0.0,0.0055284552845528,99.91761517615168
75,0.0,0.0,0.0,0.0055284552845528,99.92314363143623
48,0.1715791738382099,28.53260869565217,0.0033938987781787,0.0050948509485094,99.92823848238474
58,0.0,0.0,0.0,0.0043360433604336,99.93257452574518
53,0.2357563850687623,25.0,0.0046710782405605,0.004010840108401,99.93658536585359
50,0.0396825396825396,9.523809523809524,0.0007903576368306,0.0037940379403794,99.94037940379397
64,0.0,0.0,0.0,0.0035772357723577,99.94395663956632
67,0.0,0.0,0.0,0.0032520325203252,99.94720867208665
78,0.0,0.0,0.0,0.0028184281842818,99.95002710027093
54,0.0,0.0,0.0,0.0028184281842818,99.95284552845521
47,0.0148809523809523,6.25,0.0002969121140142,0.0026016260162601,99.95544715447147
87,0.0,0.0,0.0,0.0026016260162601,99.95804878048773
76,0.0640204865556978,12.5,0.0012738853503184,0.0022764227642276,99.96032520325195
57,0.011100011100011,3.333333333333333,0.0002212634140944,0.0022764227642276,99.96260162601618
81,0.0,0.0,0.0,0.0021680216802168,99.9647696476964
59,0.0,0.0,0.0,0.0021680216802168,99.96693766937662
84,0.0,0.0,0.0,0.0019512195121951,99.96888888888881
51,0.0334672021419009,33.333333333333336,0.0006686726847208,0.0019512195121951,99.970840108401
49,0.0,0.0,0.0,0.0018428184281842,99.9726829268292
86,0.0,0.0,0.0,0.0017344173441734,99.97441734417336
68,0.1785714285714285,50.0,0.0035587188612099,0.0017344173441734,99.97615176151753
77,0.0,0.0,0.0,0.0016260162601626,99.97777777777769
63,0.0,0.0,0.0,0.0016260162601626,99.97940379403785
88,0.0,0.0,0.0,0.0016260162601626,99.98102981029801
74,0.0,0.0,0.0,0.0015176151761517,99.98254742547417
85,0.0439560439560439,7.6923076923076925,0.0008741258741258,0.0014092140921409,99.9839566395663
56,0.0666000666000666,16.666666666666664,0.0013266998341625,0.00130081300813,99.98525745257443
92,0.0,0.0,0.0,0.0011924119241192,99.98644986449855
61,0.1255020080321285,50.0,0.0025037556334501,0.0011924119241192,99.98764227642268
73,0.0,0.0,0.0,0.0011924119241192,99.9888346883468
60,0.0251004016064257,12.5,0.000501002004008,0.0011924119241192,99.99002710027092
79,0.0477783086478738,16.666666666666664,0.0009528346831824,0.0010840108401084,99.99111111111102
66,0.0,0.0,0.0,0.0010840108401084,99.99219512195113
70,0.0,0.0,0.0,0.0009756097560975,99.99317073170722
52,0.0,0.0,0.0,0.0009756097560975,99.99414634146332
71,0.0,0.0,0.0,0.0008672086720867,99.99501355013541
82,0.0,0.0,0.0,0.0008672086720867,99.9958807588075
95,0.0,0.0,0.0,0.0008672086720867,99.99674796747959
93,0.0,0.0,0.0,0.000650406504065,99.99739837398366
62,0.0,0.0,0.0,0.000650406504065,99.99804878048772
69,0.0,0.0,0.0,0.0005420054200542,99.99859078590778
91,0.0,0.0,0.0,0.0003252032520325,99.99891598915981
94,0.0,0.0,0.0,0.0003252032520325,99.99924119241184
72,0.0,0.0,0.0,0.0003252032520325,99.99956639566388
80,0.0,0.0,0.0,0.0002168021680216,99.9997831978319
83,0.0,0.0,0.0,0.0002168021680216,99.99999999999993
55,0.0,0.0,0.0,0.0,99.99999999999993
89,0.0,0.0,0.0,0.0,99.99999999999993
90,0.0,0.0,0.0,0.0,99.99999999999993
