,precision,recall,f1,support
Climbing,0.8954011201388341,0.9459166666666666,0.9199659602058597,12000.0
Freezing,0.8790381345640029,0.90475,0.8917087593938647,12000.0
Grooming,0.8599033816425121,0.6013513513513513,0.7077534791252486,296.0
Jump,0.8863760217983652,0.930758226037196,0.9080251221214236,3495.0
Locomotion,0.7696110988118958,0.8690833333333333,0.8163281280576102,12000.0
Sniffing,0.7632933104631218,0.8158333333333333,0.7886892773704987,12000.0
Turn,0.6244500846023688,0.6150833333333333,0.6197313182199832,12000.0
Unassigned,0.7074461963402002,0.51225,0.5942288172458795,12000.0
