,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn,Unassigned
Climbing,11351,13,0,98,197,156,132,53
Freezing,14,10857,0,0,15,142,617,355
Grooming,1,4,178,2,11,2,18,80
Jump,11,0,0,3253,199,0,2,30
Locomotion,323,11,4,213,10429,292,429,299
Sniffing,215,164,0,1,517,9790,1001,312
Turn,254,541,4,4,871,1532,7381,1413
Unassigned,508,761,21,99,1312,912,2240,6147
