scorer,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000
bodyparts,nose,nose,nose,H1R,H1R,H1R,H2R,H2R,H2R,H1L,H1L,H1L,H2L,H2L,H2L,B1R,B1R,B1R,B2R,B2R,B2R,B3R,B3R,B3R,B1L,B1L,B1L,B2L,B2L,B2L,B3L,B3L,B3L,tail,tail,tail,S2,S2,S2,S1,S1,S1
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,178.61593627929688,84.71942138671875,0.952652096748352,174.60397338867188,82.48271942138672,0.8899819254875183,170.7770233154297,80.37550354003906,0.8399481773376465,180.24375915527344,80.79474639892578,0.948206901550293,181.3510284423828,75.55571746826172,0.9795889854431152,162.96800231933594,74.86661529541016,0.8860717415809631,152.3218231201172,67.31298065185547,0.25717276334762573,150.43484497070312,59.61368179321289,0.4522470533847809,178.46426391601562,66.04824829101562,0.5621965527534485,250.7518768310547,187.29129028320312,0.7740879058837891,155.0712890625,53.33283996582031,0.6950358748435974,151.35992431640625,54.2249755859375,0.6744124889373779,161.9864044189453,58.54106521606445,0.7178030014038086,170.052978515625,66.45375061035156,0.48116999864578247
1,178.61593627929688,84.71942138671875,0.9568149447441101,174.60397338867188,82.48271942138672,0.892298698425293,170.7770233154297,80.37550354003906,0.8124819397926331,180.24375915527344,80.82086181640625,0.9173785448074341,181.3510284423828,75.62679290771484,0.9813506603240967,162.97264099121094,74.96912384033203,0.8736464977264404,152.43380737304688,67.36595916748047,0.22949254512786865,150.43484497070312,59.65334701538086,0.4019179344177246,178.46426391601562,66.06573486328125,0.47815215587615967,250.76321411132812,187.31610107421875,0.7727268934249878,155.0712890625,53.395545959472656,0.6386877298355103,151.4853057861328,54.226924896240234,0.6438258290290833,162.02847290039062,58.555908203125,0.692429780960083,170.13111877441406,66.5395278930664,0.44356194138526917
2,178.61593627929688,84.71942138671875,0.9508794546127319,174.60397338867188,82.48271942138672,0.8907673954963684,170.96188354492188,80.37550354003906,0.7638818025588989,180.24375915527344,80.83808898925781,0.9055546522140503,181.3510284423828,75.62679290771484,0.9805730581283569,162.99412536621094,75.00260925292969,0.8425307273864746,152.43524169921875,67.43595886230469,0.2352023422718048,150.43484497070312,59.680450439453125,0.3853839039802551,178.46426391601562,66.12616729736328,0.45001742243766785,250.76321411132812,187.31832885742188,0.7726102471351624,155.0712890625,53.57686996459961,0.6041877269744873,151.58200073242188,54.383636474609375,0.6167031526565552,162.06887817382812,58.555908203125,0.6637465953826904,170.22450256347656,66.5395278930664,0.42222973704338074
3,178.4959716796875,84.64665222167969,0.9489424228668213,174.55882263183594,82.3488540649414,0.8914737701416016,170.7770233154297,80.37550354003906,0.7448261380195618,180.02020263671875,80.82086181640625,0.916130781173706,181.33424377441406,75.62679290771484,0.9822717905044556,162.99412536621094,75.00930786132812,0.8538576364517212,152.49249267578125,67.43595886230469,0.21275901794433594,150.44430541992188,59.825103759765625,0.390166312456131,178.46400451660156,66.24578857421875,0.44544142484664917,250.76181030273438,187.4744415283203,0.7774154543876648,155.06210327148438,53.57686996459961,0.6019420027732849,151.58200073242188,54.4525146484375,0.628312349319458,162.06887817382812,58.55310821533203,0.6907806396484375,170.22450256347656,66.53748321533203,0.4081994295120239
4,178.4857940673828,84.64665222167969,0.9490994215011597,174.55140686035156,82.33272552490234,0.8897920846939087,170.71038818359375,80.37550354003906,0.7441679239273071,180.01377868652344,80.82086181640625,0.9157052040100098,181.3337860107422,75.62891387939453,0.9822142124176025,163.00624084472656,75.00930786132812,0.8546465039253235,152.49720764160156,67.44015502929688,0.21272748708724976,150.44285583496094,59.825103759765625,0.3886764943599701,178.4545135498047,66.25995635986328,0.4423132836818695,250.76181030273438,187.4744415283203,0.7774081230163574,155.06210327148438,53.57686996459961,0.6013234853744507,151.58200073242188,54.4570198059082,0.6267151832580566,162.06887817382812,58.55310821533203,0.6906977891921997,170.1607666015625,66.53748321533203,0.4065231680870056
5,178.4857940673828,84.64665222167969,0.9485251903533936,174.55140686035156,82.32732391357422,0.8951621055603027,170.71038818359375,80.38055419921875,0.7749965190887451,180.01377868652344,80.81978607177734,0.9171921014785767,181.32859802246094,75.67416381835938,0.9816681742668152,163.04421997070312,75.24752044677734,0.8633714914321899,152.5266571044922,67.47981262207031,0.23045963048934937,150.44285583496094,59.8282585144043,0.4219229817390442,178.38438415527344,66.26335144042969,0.4632219970226288,250.7367706298828,187.4769287109375,0.7775064706802368,155.06210327148438,53.48189926147461,0.6459541916847229,151.5618438720703,54.46574020385742,0.6494766473770142,161.9886932373047,58.503456115722656,0.7138500213623047,170.16940307617188,66.41477966308594,0.41713106632232666
6,178.4857940673828,84.64837646484375,0.9483698606491089,174.55224609375,82.32732391357422,0.8965851068496704,170.71038818359375,80.39105224609375,0.7776386141777039,180.0154571533203,80.80990600585938,0.9179809093475342,181.3179168701172,75.67416381835938,0.9817726612091064,163.04421997070312,75.2509536743164,0.8639906048774719,152.5266571044922,67.48017883300781,0.23114365339279175,150.44285583496094,59.8282585144043,0.4221091568470001,178.37367248535156,66.25995635986328,0.46370571851730347,250.7367706298828,187.4744415283203,0.7776613235473633,155.06210327148438,53.47845458984375,0.6460442543029785,151.5618438720703,54.46696090698242,0.6491028666496277,161.9886932373047,58.49916458129883,0.7120175957679749,170.1607666015625,66.4083023071289,0.4194429814815521
7,178.49203491210938,84.65721893310547,0.9488216638565063,174.55882263183594,82.32732391357422,0.8966360092163086,170.71038818359375,80.39869689941406,0.779349148273468,180.02020263671875,80.80990600585938,0.918791651725769,181.3179168701172,75.67416381835938,0.982043981552124,163.0522003173828,75.2591552734375,0.8643234968185425,152.5266571044922,67.48682403564453,0.22640708088874817,150.44430541992188,59.825103759765625,0.4202026128768921,178.37367248535156,66.25995635986328,0.4646074175834656,250.7367706298828,187.4744415283203,0.7794594764709473,155.0642852783203,53.47845458984375,0.6461990475654602,151.5618438720703,54.46696090698242,0.6479191780090332,161.9886932373047,58.49916458129883,0.7137406468391418,170.15882873535156,66.398193359375,0.4193311929702759
