Animal,group,Experiment,simpson,shannon,evenness,cui,Stress
11.4,Control,1,0.7002584313974513,1.4208872286637122,0.6833023194852001,0.010968921389397052,0
11.6,Control,1,0.694280226085886,1.3130159203563458,0.6314271856354529,-0.009641873278236882,0
123.1,ELS,3,0.6528985,1.287981423052289,0.6193881372648825,0.5116666666666664,1
123.3,ELS,3,0.6637411117553711,1.277408566905947,0.6143036682214291,0.4230143229166668,1
128.4,ELS,3,0.7538869772191849,1.526895835533897,0.7846692388521452,0.35609264853977846,1
129.1,Control,3,0.7476082493485194,1.4767795672264017,0.7589145716431657,0.313191929643042,0
129.4,Control,3,0.6685660285089314,1.2743355093595017,0.6548789058827599,0.39516709511568104,0
133.3,ELS,3,0.677810129426611,1.3039630128460176,0.6701044308130344,0.3670886075949364,1
134.2,ELS,3,0.7090027846315776,1.4229166784318918,0.6842782785239622,0.36424272002602903,1
134.4,ELS,3,0.6537355365859829,1.3018131924131393,0.6260398122860887,0.4606324620845436,1
136.2,Control,3,0.7006087625148905,1.4184636847462215,0.7289461363027719,0.43193612774451046,0
136.3,Control,3,0.6365173843928909,1.2205810112970765,0.6812192329715664,0.3248502994011976,0
136.5,Control,3,0.7221636744577014,1.3776654864621576,0.707980009832919,0.11697341513292417,0
137.3,Control,3,0.7142273122422172,1.5105390941361296,0.7762635365612619,0.29863013698630136,0
144.3,ELS,3,0.5834702111333878,1.231740759664471,0.6329895346208291,0.5438805970149253,1
144.5,ELS,3,0.70347518054098,1.3966793112322957,0.7177511828644019,0.37189409368635434,1
145.5,Control,3,0.6851941054651938,1.3906486385511259,0.7146520301701742,0.3591128254580522,0
146.6,Control,3,0.6795759858693561,1.3043779290604673,0.6272731899001842,0.40441415124959423,0
147.4,Control,3,0.7030051006257266,1.3907346130954577,0.668801976501816,0.2462209755337387,0
148.4,ELS,3,0.7043359042208067,1.4119640812987746,0.7256060008650682,0.317814726840855,1
15.4,ELS,1,0.7218323138564942,1.4688085243204347,0.7063475913508426,0.08802033682872575,1
15.6,ELS,1,0.6851979469163016,1.386830209345724,0.6669243551926931,0.20669508921522187,1
150.3,ELS,3,0.6735196840697697,1.3160680735742738,0.6328949610726321,0.5699352911896466,1
150.5,ELS,3,0.7506927059412067,1.6026617332619462,0.8236052081027457,0.26402349486049953,1
152.3,Control,3,0.7417032572540073,1.494403682397966,0.7679715752155661,0.20203515263644772,0
152.5,Control,3,0.6783970945103879,1.347407077813103,0.6479658364065513,0.4726894121415984,0
153.4,ELS,3,0.6415334267597175,1.2786274221501948,0.6148898136935751,0.5332664660648614,1
154.4,ELS,3,0.6739009915734513,1.3771338289045079,0.7077067918953345,0.3854421104054714,1
157.1,Control,3,0.7122267513848786,1.3787925161617223,0.7085591885273268,0.020804438280166163,0
157.4,Control,3,0.6735733184499255,1.3583986537455257,0.6532516671029714,0.3103064951564241,0
158.5,Control,3,0.6915920857988165,1.3994079289356518,0.6729729597520533,0.40801282051282056,0
159.3,ELS,3,0.698905927824642,1.435365156193412,0.7376317744630927,0.47258805513016805,1
159.4,ELS,3,0.7077920051297911,1.3863809637810327,0.7124588791800501,0.41736922295581497,1
159.5,ELS,3,0.6647980156422943,1.3654790881332572,0.7017174399322397,0.48879919273461137,1
161.1,Control,3,0.6496957868795666,1.2270256769842196,0.6305664614473117,0.4555555555555552,0
161.3,Control,3,0.6690518069973088,1.35668161280113,0.6971964319420207,0.4411764705882354,0
2.4,ELS,1,0.6926383086102437,1.3735403461704103,0.6605332819603205,0.11000302206104572,1
23.4,ELS,1,0.6794993486670305,1.3708428440263278,0.6592360576383021,0.24930362116991642,1
25.1,ELS,1,0.6396278982994765,1.2391398475090516,0.6367919135992073,0.18667917448405238,1
26.4,ELS,1,0.6723123898618723,1.3159420634265815,0.6762604450495496,0.4001958863858959,1
32.2,ELS,1,0.6719189483765826,1.4168668347290252,0.6813689186878691,0.1919761792822441,1
32.4,ELS,1,0.6349502201479651,1.2348590286511205,0.5938416656106447,0.07484604452865962,1
34.4,Control,1,0.67741593695582,1.4103136195200965,0.6782174883266026,0.27150031387319495,0
34.5,Control,1,0.7352994847395994,1.5082080730365464,0.7252947691995084,0.2612325440194296,0
40.4,Control,1,0.7097181177014684,1.4397496336846498,0.6923732188795154,-0.16215053763440823,0
40.6,Control,1,0.7297732923607392,1.5043021905248848,0.7234164367562187,0.1005100510051006,0
41.4,Control,1,0.7259427113857957,1.4333832181523256,0.6893116201739412,0.08135644768856468,0
41.5,Control,1,0.7159614640483134,1.4249918056937445,0.685276203793925,0.2067843866171,0
41.6,Control,1,0.725683887404172,1.4808836697396128,0.712154508822263,0.19721831536177534,0
43.3,ELS,1,0.7543816344609102,1.5852897986571468,0.7623632436315098,0.1252796420581656,1
43.5,ELS,1,0.7307226771092915,1.502727762352022,0.7722493061057089,0.137358490566038,1
47.5,Control,1,0.7254700839174957,1.4892675532935487,0.716186304564481,0.03922459488111496,0
49.5,ELS,1,0.6847496175922947,1.3892635361431518,0.6680945380271968,0.050302748020493906,1
49.6,ELS,1,0.699551887692341,1.3948489914091697,0.6707805742316606,0.3950558967091801,1
5.4,Control,1,0.6883283446712019,1.3659513533520746,0.6568837478588688,0.30095238095238064,0
50.5,Control,1,0.7368172113377375,1.4980812084459774,0.7698614497556607,0.20325047801147236,0
53.5,Control,1,0.7498029717505642,1.5375808315723951,0.739420080225141,0.1778080945884495,0
54.3,Control,1,0.7360355288672047,1.5306045318086818,0.7360651892008531,0.11156773211567753,0
54.4,Control,1,0.6564210002655322,1.2448741455938588,0.6397387598796437,0.41884558460779436,0
54.6,Control,1,0.6703677925348505,1.3481913380880781,0.6928332938407195,0.42570473005255594,0
55.3,ELS,1,0.7322080037442968,1.5034628171531002,0.7230127834892427,0.06117957746478878,1
55.5,ELS,1,0.6851271668288044,1.3826040633954033,0.6648920085911595,0.1130925163846976,1
56.3,ELS,1,0.7051280286106684,1.4645287313773032,0.75261888740767,0.36048237476808886,1
58.5,Control,1,0.7402284489755148,1.5053215115042797,0.7239066265302344,0.12573616018845737,0
62.1,Control,1,0.7356306417465486,1.5324059734208662,0.7369314994943028,-0.03425677688412265,0
