cluster,n_obs,n_animals,n_control,n_els,const_beta,const_SE,const_z,const_p,stress_beta,stress_SE,stress_z,stress_p,exp_bin_beta,exp_bin_SE,exp_bin_z,exp_bin_p,converged
Freeze,1230,82,41,41,4.9801,0.0655,76.0747,0.0,-0.2042,0.0813,-2.5103,0.012062,0.3758,0.0796,4.7229,2e-06,False
Sniff,1230,82,41,41,2.6604,0.1923,13.8322,0.0,0.6222,0.2308,2.6954,0.00703,0.9745,0.2384,4.0875,4.4e-05,False
Turn,1230,82,41,41,5.7604,0.0285,202.1714,0.0,0.1005,0.0324,3.0988,0.001943,0.0085,0.0342,0.2486,0.803703,False
Locomotion,1230,82,41,41,3.9269,0.11,35.7095,0.0,-0.1575,0.1604,-0.9815,0.326349,-0.8008,0.1849,-4.3309,1.5e-05,True
Climb,1230,82,41,41,3.4271,0.0898,38.1471,0.0,0.0121,0.1426,0.0846,0.932561,-0.3743,0.1544,-2.4238,0.015359,True
Groom,1230,82,41,41,-0.7385,0.2196,-3.3633,0.00077,0.0906,0.3706,0.2446,0.806777,-1.4186,0.436,-3.2534,0.00114,True
Jump,1230,82,41,41,1.6663,0.0817,20.3868,0.0,0.0131,0.1155,0.1135,0.909633,-0.1386,0.1314,-1.0553,0.291303,True
