Animal,group,Experiment,lz,recurrence,determinism,markov
11.4,Control,1,191,0.29974156860254875,0.8296875021810776,1.0878277818328566
11.6,Control,1,187,0.30571977391411403,0.8149538002568955,1.0731423378771237
123.1,ELS,3,137,0.3471015,0.8649053740390622,0.8476828476457829
123.3,ELS,3,160,0.3362588882446289,0.8541244770379544,0.9086313682527588
128.4,ELS,3,153,0.24611302278081515,0.8569738586110504,0.9103675385137515
129.1,Control,3,120,0.25239175065148056,0.8821507428335844,0.7910813631665767
129.4,Control,3,113,0.3314339714910687,0.8768737848256779,0.7633032475074061
133.3,ELS,3,167,0.322189870573389,0.8282408833233376,0.9993356909237208
134.2,ELS,3,173,0.2909972153684224,0.8389446688213408,1.029814474523404
134.4,ELS,3,173,0.346264463414017,0.8375149229562157,1.031617683334538
136.2,Control,3,161,0.2993912374851096,0.8424750657304999,0.9826669135022219
136.3,Control,3,140,0.36348261560710915,0.8683311518863343,0.906472544532351
136.5,Control,3,129,0.27783632554229865,0.8613325944272913,0.8349261517118476
137.3,Control,3,173,0.2857726877577828,0.8430785907495285,1.0577341284220105
144.3,ELS,3,147,0.41652978886661224,0.8927649255240919,0.9112826397381414
144.5,ELS,3,144,0.29652481945902,0.8741237673188419,0.8722428906257309
145.5,Control,3,175,0.3148058945348062,0.8288073866762915,1.0470965982248568
146.6,Control,3,160,0.320424014130644,0.8396800090088221,0.9898378837372852
147.4,Control,3,212,0.2969948993742734,0.787246039678398,1.2050812145008958
148.4,ELS,3,196,0.2956640957791933,0.8193220131652382,1.1111126154751216
15.4,ELS,1,170,0.27816768614350584,0.8470963424272224,0.990752681098185
15.6,ELS,1,191,0.3148020530836984,0.8168914037357183,1.095722460119376
150.3,ELS,3,154,0.32648031593023036,0.8419713732393296,0.935258447672419
150.5,ELS,3,195,0.2493072940587932,0.802644704812966,1.2003302341576845
152.3,Control,3,229,0.25829674274599274,0.7374300934300271,1.3095000203243239
152.5,Control,3,193,0.32160290548961207,0.7969474486567336,1.158205165182541
