metric,beta,se,z,p,gold_se,gold_p,seed,significant,optimizer,seq_order
simpson,-0.0134408686098297,0.0065514855634412,-2.051575704422349,0.0402109153519315,0.006593,0.041482,-1,True,default,-
cui,0.0636457878443558,0.0204952778588164,3.1053878987533405,0.001900296369352,0.021446,0.002999,138,True,default(seed),-
freeze_bout,-0.1051739884720242,0.0477204450271944,-2.203960763821226,0.0275271035693063,0.052566,0.045415,140,True,default(seed),-
recurrence,0.0134408686098294,0.0058095778222469,2.3135706278620694,0.0206912864066103,0.005938,0.023593,129,True,default(seed),file
determinism,0.0161047883199898,0.0048558866666798,3.3165494636639496,0.0009113645309919,0.004762,0.000719,104,True,default(seed),file
markov,-0.04119,0.01757,-2.344,0.01909,0.017585,0.019175,273,True,lbfgs(seed273),file
