metric,parameter,coef,se,z,p_value,ci_low,ci_high,n_obs,seed
lz,Condition[T.ELS],-8.048780487805512,5.54931143199169,-1.450410665619598,0.1469440346317685,-18.925231033505618,2.8276700578945935,82,898
recurrence,Condition[T.ELS],0.013440868609829439,0.0058095778222469535,2.3135706278620694,0.02069128640661032,0.00205430531284277,0.024827431906816105,82,129
determinism,Condition[T.ELS],0.01610478831998985,0.0048558866666798105,3.3165494636639496,0.0009113645309919488,0.006587425340289166,0.025622151299690532,82,104
markov,Condition[T.ELS],-0.04118697874142148,0.020338536440304415,-2.025070922006078,0.04286008223153633,-0.0810497776626736,-0.0013241798201693508,82,497
