metric,parameter,coef,se,z,p_value,ci_low,ci_high,n_obs,seed
simpson,Condition[T.ELS],-0.013440868609831113,0.0066458505901158425,-2.022445197582576,0.043130379757993775,-0.026466496413092427,-0.0004152408065697961,82,482
shannon,Condition[T.ELS],-0.011573886428515263,0.018377913345791655,-0.6297715203432255,0.5288440814498911,-0.04759393469726491,0.024446161840234383,82,449
evenness,Condition[T.ELS],-0.006497065124602423,0.009728120362110028,-0.6678643851804904,0.5042201631196455,-0.025563830671608823,0.01256970042240398,82,475
cui,Condition[T.ELS],0.06364578784435523,0.02191403372783602,2.9043392300482767,0.003680291618435732,0.020695070981800616,0.10659650470690984,82,410
