cluster,parameter,coef,se,z,p_value,ci_low,ci_high,n_obs
Freezing,Condition[T.ELS],-0.0938474410183694,0.03323424358786835,-2.8238175714830165,0.0047455387169428355,-0.1589853615040226,-0.02870952053271622,82
Sniffing,Condition[T.ELS],0.32087940229676004,0.12631529639525993,2.540305184359297,0.011075577767893816,0.07330597066554848,0.5684528339279716,82
Grooming,Condition[T.ELS],0.0004458041958041496,0.0011978320617403954,0.3721758751025719,0.7097619068849579,-0.001901903504734384,0.002793511896342683,48
Turn,Condition[T.ELS],0.16382370310043093,0.05800570765278598,2.8242686750941237,0.004738864205731102,0.050134605203211016,0.27751280099765085,82
Locomotion,Condition[T.ELS],0.0021834686706813772,0.009489135938781281,0.2301019486671836,0.8180125507020292,-0.01641489601373461,0.02078183335509736,82
Climbing,Condition[T.ELS],-0.006871677081900691,0.019836475385371186,-0.3464162331463557,0.7290299272012053,-0.045750454417443506,0.03200710025364212,81
Jump,Condition[T.ELS],-0.019890213392409,0.011907800296587516,-1.6703516096175253,0.0948498177337208,-0.04322907310881591,0.0034486463239979046,80
