metric,els_n,zero_threshold,zero_n,zero_matches_figure5_euclidean,zero_extra_vs_figure5_euclidean,zero_missing_vs_figure5_euclidean,els_mean_score,mean_threshold_n,mean_added_vs_zero,mean_removed_vs_zero,els_median_score,median_threshold_n,median_added_vs_zero,median_removed_vs_zero
Correlation,41,0.0,12,False,"133.3, 134.4, 154.4, 56.3, 63.3","15.4, 150.5, 2.4, 43.3, 43.5",0.16834787818714073,18,"128.4, 15.4, 150.5, 43.3, 43.5, 55.3",,0.21380021732382967,20,"123.1, 128.4, 15.4, 150.5, 43.3, 43.5, 55.3, 69.2",
Cosine,41,0.0,11,False,"133.3, 134.4, 154.4, 63.3","15.4, 150.5, 2.4, 43.3, 43.5",0.17987708239730518,19,"128.4, 15.4, 150.5, 43.3, 43.5, 55.3, 56.3, 69.2",,0.22439969229410975,20,"123.1, 128.4, 15.4, 150.5, 43.3, 43.5, 55.3, 56.3, 69.2",
Minkowski,41,0.0,12,False,"133.3, 154.4, 63.3","150.5, 43.3, 43.5",0.17692949858593393,19,"128.4, 134.4, 150.5, 153.4, 43.3, 43.5, 55.3",,0.1988421803913361,20,"128.4, 134.4, 150.5, 153.4, 43.3, 43.5, 55.3, 69.2",
Manhattan,41,0.0,12,False,"133.3, 134.4, 154.4, 56.3","150.3, 150.5, 2.4, 43.5",0.15469629900258947,17,"128.4, 150.3, 43.5, 55.3, 69.2",,0.23381086742983415,20,"128.4, 150.3, 153.4, 43.5, 55.3, 55.5, 69.2, 75.1",
Transition,41,0.0,20,False,"123.1, 128.4, 133.3, 144.3, 153.4, 154.4, 159.3, 159.5, 32.2, 56.3, 69.1, 73.1, 88.2","123.3, 134.2, 15.4, 43.3, 49.6",0.012891434248875292,20,,,0.019239335712956933,20,,
