metric,loocv_accuracy,control_n,els_n,control_mean_score,els_mean_score,welch_t_control_vs_els,welch_p_value,overlap_pct_with_fig5_euclidean
Correlation,0.6463414634146342,41,41,-0.2593357804308249,0.16834787818714073,-3.5330096686548016,0.0006871876393054686,
Cosine,0.6219512195121951,41,41,-0.23494702181962585,0.17987708239730518,-3.6038398211587666,0.0005434396271938287,
Minkowski,0.6341463414634146,41,41,-0.16550874723308678,0.17692949858593393,-3.4648542520675645,0.0008687219150080845,
Manhattan,0.6585365853658537,41,41,-0.14409008083967448,0.15469629900258947,-2.612282767525403,0.010765625133014368,
Transition,0.45121951219512196,41,41,-0.048699022572606485,0.012891434248875292,-1.2285299051942156,0.2228620345523777,58.333333333333336
