behaviour,coefficient,mean_abs_shap,mean_shap_resilient,mean_shap_vulnerable,direction
Freeze,0.4227934354003385,0.357511976591255,0.3495182793193364,-0.1446282535114495,resilient
Turn,-0.44766035478729743,0.3408978498319649,0.326551721875093,-0.13512485043107267,vulnerable
Jump,-0.27628043793986506,0.23247697531510395,0.027894701571137343,-0.011542635132884562,vulnerable
Locomotion,0.22056715309466735,0.19323461832340236,-0.011905239320161664,0.004926305925584156,resilient
Groom,0.3106258496977044,0.18013522436425805,-0.007695448791348873,0.0031843236377995417,resilient
Sniff,-0.19877911943616577,0.15669856199763071,0.030433622859182895,-0.012593223252075667,vulnerable
Climb,0.09121475448297447,0.07187405797584254,-0.006445000709305436,0.0026668968452298308,resilient
