true_class,Freeze,Sniff,Groom,Turn,Locomotion,Climb,Jump,Unassigned
Freeze,0.8,0.004,0.0,0.021,0.044,0.041,0.044,0.041
Sniff,0.002,0.86,0.0,0.0,0.002,0.022,0.069,0.044
Groom,0.069,0.007,0.45,0.069,0.038,0.0,0.031,0.34
Turn,0.038,0.0,0.0,0.71,0.16,0.034,0.026,0.038
Locomotion,0.078,0.001,0.0,0.06,0.61,0.043,0.088,0.11
Climb,0.036,0.037,0.0,0.001,0.045,0.68,0.13,0.068
Jump,0.048,0.049,0.0,0.008,0.1,0.16,0.47,0.16
Unassigned,0.076,0.085,0.0,0.025,0.19,0.096,0.23,0.3
