animal_label,profile,Climb,Freeze,Groom,Jump,Locomotion,Sniff,Turn
2.4,resilient,-0.04977589848863305,0.29101670008033087,0.8636597284854952,-0.03856012426340302,-0.17105563328556897,0.09934335528979525,-0.13290306580751352
15.4,resilient,-0.05181978847775862,0.10644378081314074,0.1583864223873408,0.08541565753652407,-0.10023710913651442,-0.13173926107176276,0.17468336071998983
15.6,vulnerable,-0.054372768043840614,0.06947750972630069,0.43993306308267155,-0.37278755599130703,-0.19730064808321532,0.0419842542206169,-0.29801247478523507
23.4,vulnerable,-0.019175940334095656,-0.14232505977394524,0.061920530425680846,0.17692477761473696,0.11310623239532623,0.13075867090477544,-0.37239810745180524
25.1,vulnerable,-0.11716268000417394,-0.16658813699914143,0.010281391504999415,-0.15507196363116452,-0.08484928240749358,0.12077674091771373,-0.7845185013268781
26.4,resilient,-0.04398057154276351,0.5159107304488176,-0.15339792434925467,0.19367420931400803,-0.049873491584568316,0.16040706554726872,0.11275789838426795
32.2,vulnerable,0.013318536225637069,-0.38851463691533905,1.4989330206446667,-0.5988710130757143,-0.15459294389061293,0.023400815330547723,-0.5695145589493085
32.4,vulnerable,-0.05549893854557494,-0.335258505522262,0.4769659333972828,-0.056994072375619535,-0.1670491234981398,0.1354749123270347,-0.9766815034795402
43.3,resilient,0.17579723522926274,-0.13089026903480322,-0.020255698021420826,-0.3269081290787517,0.372399976527213,0.1173087418541854,0.4252221234660794
43.5,resilient,0.10676312946130279,-0.03127111145021103,-0.15339792434925467,-0.05488966396046707,0.25153362697957754,0.140205505283398,0.18397320541506243
49.5,vulnerable,-0.04963851079538384,-0.5771868461486097,0.0856575476607526,-0.1948334425181924,0.34319562298454126,0.05598426564757901,-0.5086733734057312
49.6,resilient,-0.07250440216534298,1.006748149611529,-0.05853584033096481,-0.07474485037460188,-0.09640687033005796,0.08495866466601243,0.7741492020596443
55.3,vulnerable,0.08658974754826748,-0.17502111063927092,-0.03840110571419177,-0.4083364181477533,0.45163516090195865,0.14359161565665188,0.22305721553576022
55.5,vulnerable,0.016112859354681326,-0.6435416681471062,-0.124348399136277,0.05975648452555568,0.4537018376519701,0.10578076485163627,-0.45568225918112687
56.3,vulnerable,0.0489386902875104,0.0564878579739961,-0.15339792434925467,0.21347343288337822,0.23561901960437234,0.10778847670715776,0.1902530001718882
63.3,vulnerable,-0.004790556739904414,0.06899709228972437,-0.15339792434925467,-0.014813702465537221,0.16038219264608913,0.13394689346728766,-0.028073357206030675
69.1,vulnerable,-0.07800623896513578,-0.10053618864590934,-0.15339792434925467,-0.2424604307500931,0.1314438784577762,0.10133200742519839,-0.3319249608137365
69.2,vulnerable,0.20199066532892176,-0.5730636883710286,0.09703446187840002,-0.29178495812115346,0.47661600583066893,0.17615190626517957,-0.05573082695809851
69.3,vulnerable,-0.07135306401416368,-0.3686559571331541,-0.023075071710149466,-0.1255729667735611,0.14383578732728286,0.11049356053547058,-0.6528796768176258
69.5,vulnerable,0.029540600328702156,-0.12652403011912872,-0.07923747049672086,0.2619132299657281,0.13870480913681227,0.14553555742545415,-0.26242307756245664
73.1,vulnerable,-0.02313814189372209,-0.24186428290281822,-0.15339792434925467,0.3948458532956948,-0.15108050424064537,-0.2007375693110398,-0.13260015205262402
73.4,vulnerable,0.07742847883293497,-0.30910558661347676,-0.06185148317817992,-0.17387526770335,-0.19802948824676658,-0.24493799055293378,0.09658629983843359
75.1,vulnerable,0.2584596767990832,-0.5312277232089252,-0.10225123531623262,0.12663467205502665,0.2213740379726033,0.014943641807963584,0.11949676869369091
88.2,vulnerable,0.1733061718986194,-0.2654844384928626,-0.15339792434925467,0.2880921829620718,-0.046391330061285437,0.032279803447309095,-0.09869083567605387
88.3,vulnerable,0.010416465483282322,-0.3756460743047932,-0.011894405240409892,-0.040739541519011435,0.17672550055104594,0.10813565714385347,-0.4517697202522988
123.1,vulnerable,-0.048048105255188316,0.28038907774338445,-0.10716908525198854,0.45278962175915016,-0.2480925125513572,-0.024752573568329002,-0.039636264291915975
123.3,resilient,-0.08122236351917582,0.5721418196193457,-0.0572399655439487,0.09298547378715653,-0.09380251757038274,0.16347792124280697,0.05631273655864955
128.4,vulnerable,0.012334959447511862,0.28847866451741633,-0.15339792434925467,0.10139977215674152,-0.2429070328749275,-0.5989886416233209,1.3362775472122093
133.3,vulnerable,-0.09995255607579431,0.845359350565493,-0.15339792434925467,-0.36894997886422015,-0.14776789428861534,0.147297346504106,0.3583285985926346
134.2,resilient,-0.05285341752730182,0.5633859731298962,-0.07989889721152482,-0.4328830060591008,0.08831708739427795,0.1610730356608099,0.3661491446708402
134.4,vulnerable,-0.09332987635685178,0.2613859971796615,-0.10593690064478162,-0.1865972344129564,-0.04141512931566943,0.13237218995124636,-0.19399985552197205
144.3,vulnerable,-0.048826845224417076,-0.3902790676127355,-0.15339792434925467,0.2697733841332184,-0.20845824492745577,-0.10526846001830817,-0.6185686031494999
144.5,vulnerable,-0.06948242879313916,-0.06851100388748829,-0.10619054333669486,0.5070847398582093,-0.23043534588258638,-0.3718864363131056,0.23493099959642466
148.4,resilient,-0.06977920529486895,0.3254924757139178,-0.15339792434925467,-0.0410992642050446,0.20271889926823244,0.14628771792827477,0.16568758840571798
150.3,resilient,-0.07812558401293963,0.6433412365262362,-0.13147151351488995,0.18661217586609866,-0.2567285937919478,-0.1279085530090774,0.5622878731988195
150.5,resilient,0.18428054756221612,-0.3746255556057874,-0.15339792434925467,0.24405794402658987,-0.044963004040926756,-0.279110027807221,0.4496694781602466
153.4,vulnerable,-0.0792552809074622,0.40275197903510024,-0.13064769523083947,-0.15794195439306882,-0.2260913398495422,0.045083678327197625,-0.023724746865826138
154.4,vulnerable,-0.011558465814111308,0.32466170316681303,-0.15339792434925467,-0.4070624552755613,-0.09783030170160244,0.12614575461489888,0.025834734452938404
159.3,vulnerable,0.07814042471683846,-0.44205230327485645,-0.15339792434925467,0.3630068373989374,-0.22836134569391134,-0.4811995614184332,0.3449198664146607
159.4,resilient,-0.04411968973566249,0.7065254219796241,-0.15339792434925467,0.5010759962646401,-0.24476524227127391,-0.16910069127429572,0.7806311172693116
159.5,vulnerable,-0.005646869977366244,-0.5708222753170742,-0.15339792434925467,0.24626154855616283,-0.23282474610468012,-0.4766907549836027,0.0071971627380151455
