behavior,rank,parameter,parameter_label,mean_absolute_shap,mean_shap,sd_shap,sem_shap,minimum_shap,maximum_shap,n_frames,plotted_top_10
Freeze,13,H2R_velocity_roll_mean,Mean right head 2 velocity,0.09876882284879684,-0.08989004045724869,0.10395783931016922,0.0020240435319232026,-0.34930697083473206,0.11648280173540115,2638,False
Freeze,14,dist_B1R_H2L_roll_std,SD distance Right body 1 - Left head 2,0.09299437701702118,-0.04760865494608879,0.09993499517440796,0.0019457193602498283,-0.3010651469230652,0.6883448958396912,2638,False
Freeze,15,dist_B3L_S2_roll_std,SD distance Left body 3 - Center body,0.08894392848014832,-0.06514319777488708,0.1305135190486908,0.0025410786316063566,-0.5967365503311157,0.3050716519355774,2638,False
Freeze,16,B1R_velocity_roll_mean,Mean right body 1 velocity,0.08585838973522186,-0.05977540463209152,0.0678035244345665,0.0013201244464490954,-0.21087993681430817,0.1672544628381729,2638,False
Freeze,17,dist_B1L_S2_roll_std,SD distance Left body 1 - Center body,0.08337240666151047,-0.04992533475160599,0.09084875136613846,0.0017688115567436994,-0.3983810544013977,0.3820493221282959,2638,False
Freeze,18,dist_B2L_H1L_roll_std,SD distance Left body 2 - Left head 1,0.08192238956689835,-0.049166906625032425,0.08436848968267441,0.001642641834165576,-0.28521281480789185,0.36001473665237427,2638,False
Freeze,19,dist_S1_tail_roll_std,SD distance Center body - Tail,0.08137255907058716,-0.04854441434144974,0.0880851149559021,0.001715003970535247,-0.3160726726055145,0.2556675672531128,2638,False
Freeze,20,S2_velocity_roll_mean,Mean center body velocity,0.07844332605600357,-0.03481386974453926,0.07632862031459808,0.0014861067839957662,-0.16648609936237335,0.25876155495643616,2638,False
Freeze,21,B3L_velocity,Left body 3 velocity,0.06973487883806229,-0.04658380150794983,0.07573970407247543,0.0014746406731317608,-0.29737618565559387,0.3490378260612488,2638,False
Freeze,22,dist_B1R_H2R_roll_std,SD distance Right body 1 - Right head 2,0.06825482100248337,-0.03829708695411682,0.07129623740911484,0.001388127043962752,-0.2529842257499695,0.65935218334198,2638,False
Freeze,23,dist_B2L_H2R_roll_std,SD distance Left body 2 - Right head 2,0.06539405882358551,-0.031116295605897903,0.06483335793018341,0.0012622957502985833,-0.16939157247543335,0.2379671186208725,2638,False
Freeze,24,B1R_velocity,Right body 1 velocity,0.06278868764638901,-0.050021011382341385,0.0631316527724266,0.0012291638062272804,-0.21399594843387604,0.1271430104970932,2638,False
